5.3986 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
147063.0325 	EXP 	distractor
147064.4404 	EXP 	distractor
147065.8440 	EXP 	target
147067.2518 	EXP 	baseLine
147068.6566 	EXP 	target
147070.0627 	EXP 	baseLine
147071.4661 	EXP 	baseLine
147072.8698 	EXP 	target
147074.2734 	EXP 	baseLine
147075.6781 	EXP 	baseLine
147077.0860 	EXP 	baseLine
147078.4907 	EXP 	distractor
147079.8946 	EXP 	baseLine
147081.2988 	EXP 	distractor
147082.7035 	EXP 	baseLine
147084.1089 	EXP 	distractor
147085.5128 	EXP 	distractor
147086.9166 	EXP 	baseLine
147088.3199 	EXP 	baseLine
147089.7240 	EXP 	distractor
147091.1279 	EXP 	target
147105.9872 	DATA 	Keypress: space
147105.9884 	EXP 	startBlock
147106.0031 	EXP 	baseLine
147107.4073 	EXP 	baseLine
147108.8131 	EXP 	target
147110.2193 	EXP 	baseLine
147111.6291 	EXP 	baseLine
147113.0363 	EXP 	distractor
147114.4399 	EXP 	baseLine
147115.8441 	EXP 	baseLine
147117.2485 	EXP 	target
147118.6528 	EXP 	baseLine
147120.0611 	EXP 	baseLine
147121.4666 	EXP 	baseLine
147122.8698 	EXP 	target
147124.2728 	EXP 	baseLine
147125.6764 	EXP 	baseLine
147127.0823 	EXP 	baseLine
147128.4856 	EXP 	baseLine
147129.8908 	EXP 	distractor
147131.2951 	EXP 	distractor
147132.7005 	EXP 	baseLine
147134.1048 	EXP 	distractor
147135.5139 	EXP 	baseLine
147136.9179 	EXP 	baseLine
147138.3212 	EXP 	target
147139.7249 	EXP 	baseLine
147141.1301 	EXP 	baseLine
147142.5329 	EXP 	baseLine
147143.9365 	EXP 	baseLine
147145.3417 	EXP 	baseLine
147146.7486 	EXP 	distractor
147148.1546 	EXP 	baseLine
147149.5590 	EXP 	distractor
