3.0441 	WARNING 	Monitor specification not found. Creating a temporary one...
3.0475 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1536, 864]. Using actual size
1135499.2676 	EXP 	START
1135501.4585 	DATA 	Keypress: space
1135501.4615 	EXP 	startBlock
1135501.7585 	EXP 	distractor
1135503.3501 	EXP 	target
1135504.9582 	EXP 	baseLine
1135506.5719 	EXP 	baseLine
1135508.1839 	EXP 	distractor
1135509.7929 	EXP 	distractor
1135511.3807 	EXP 	baseLine
1135512.9816 	EXP 	baseLine
1135514.5681 	EXP 	baseLine
1135516.1859 	EXP 	baseLine
1135517.7993 	EXP 	baseLine
1135519.3942 	EXP 	baseLine
1135521.0022 	EXP 	baseLine
1135522.6075 	EXP 	baseLine
1135524.2076 	EXP 	baseLine
1135525.8145 	EXP 	baseLine
1135527.4232 	EXP 	baseLine
1135529.0159 	EXP 	baseLine
1135530.6282 	EXP 	baseLine
1135532.2399 	EXP 	baseLine
1135536.2143 	DATA 	Keypress: space
1135536.2210 	EXP 	startBlock
1135536.4208 	EXP 	baseLine
1135538.0167 	EXP 	distractor
1135539.6102 	EXP 	baseLine
1135541.2182 	EXP 	distractor
1135542.8066 	EXP 	baseLine
1135544.4202 	EXP 	distractor
1135546.0252 	EXP 	distractor
1135547.6416 	EXP 	baseLine
1135549.2527 	EXP 	baseLine
1135550.8763 	EXP 	baseLine
1135552.4953 	EXP 	baseLine
1135554.1174 	EXP 	baseLine
1135555.7290 	EXP 	baseLine
1135557.3249 	EXP 	baseLine
1135558.9243 	EXP 	baseLine
1135560.5594 	EXP 	target
1135562.1713 	EXP 	distractor
1135563.7476 	EXP 	baseLine
1135565.3534 	EXP 	baseLine
1135566.9541 	EXP 	baseLine
1135584.0380 	DATA 	Keypress: space
1135584.0404 	EXP 	startBlock
1135584.2524 	EXP 	baseLine
1135585.8627 	EXP 	baseLine
1135587.4754 	EXP 	baseLine
1135589.0751 	EXP 	baseLine
1135590.6872 	EXP 	baseLine
1135592.2906 	EXP 	baseLine
1135593.9132 	EXP 	target
1135595.5187 	EXP 	baseLine
1135597.1293 	EXP 	baseLine
1135598.7413 	EXP 	baseLine
1135600.3666 	EXP 	baseLine
1135601.9681 	EXP 	baseLine
1135603.5811 	EXP 	baseLine
1135605.1755 	EXP 	baseLine
1135606.7725 	EXP 	baseLine
1135608.3805 	EXP 	baseLine
1135609.9765 	EXP 	baseLine
1135611.5862 	EXP 	baseLine
1135613.2184 	EXP 	baseLine
1135614.8020 	EXP 	baseLine
1135701.5685 	DATA 	Keypress: space
1135701.5713 	EXP 	startBlock
1135701.7759 	EXP 	baseLine
1135703.3886 	EXP 	baseLine
1135704.9881 	EXP 	baseLine
1135706.5983 	EXP 	baseLine
1135708.2047 	EXP 	distractor
1135709.8219 	EXP 	baseLine
1135711.4250 	EXP 	baseLine
1135713.0416 	EXP 	distractor
1135714.6380 	EXP 	baseLine
1135716.2653 	EXP 	distractor
1135717.8799 	EXP 	baseLine
1135719.4915 	EXP 	baseLine
1135721.1090 	EXP 	baseLine
1135722.7199 	EXP 	baseLine
1135724.3235 	EXP 	baseLine
1135725.9269 	EXP 	target
1135727.5235 	EXP 	baseLine
1135729.1392 	EXP 	baseLine
1135730.7536 	EXP 	baseLine
1135732.3738 	EXP 	target
1136040.7729 	DATA 	Keypress: space
1136040.7731 	DATA 	Keypress: b
1136040.7806 	EXP 	startBlock
1136040.9904 	EXP 	baseLine
1136042.6031 	EXP 	baseLine
1136044.2100 	EXP 	baseLine
1136045.8371 	EXP 	baseLine
1136047.4425 	EXP 	baseLine
1136049.0520 	EXP 	baseLine
1136050.6612 	EXP 	distractor
1136052.2781 	EXP 	baseLine
1136053.8967 	EXP 	baseLine
1136055.5046 	EXP 	baseLine
1136057.1162 	EXP 	target
1136058.7070 	EXP 	distractor
1136060.3013 	EXP 	target
1136061.8841 	EXP 	distractor
1136063.4984 	EXP 	baseLine
1136065.1053 	EXP 	baseLine
1136066.7087 	EXP 	baseLine
1136068.3259 	EXP 	baseLine
1136069.9296 	EXP 	baseLine
1136071.5487 	EXP 	target
