,Unnamed: 0,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
1059,1059.0,2064275.9830849,-12.80327033996582,22.297273635864254,15.78429889678955,-58.07182693481445,22.933780670166016,41.627479553222656,-66.31554412841797,2.1093058586120605,132.85873413085938,-58.56141662597656,-63.99260330200195,206.18316650390625,-48.99434661865234,-154.87355041503906,132.39093017578125,-1.5683375597000122
1289,1289.0,2064277.0310273,13.357574462890623,-12.169496536254885,-30.190561294555664,47.83455276489258,32.64799118041992,-104.55217742919922,5.425018310546875,142.96070861816406,-47.09366226196289,-79.45361328125,198.96112060546875,33.74663162231445,-100.05754089355467,17.603435516357422,321.4342956542969,-35.3537483215332
1529,1529.0,2064278.0726019,6.619576454162598,26.94761848449707,42.632423400878906,54.38951873779297,24.799739837646484,-10.417311668395996,-70.0357666015625,-104.57849884033205,-171.603271484375,-141.23875427246094,-57.96315383911133,43.73800659179688,63.947750091552734,138.3485870361328,284.2574768066406,53.37054061889648
1989,1989.0,2064280.1422944,14.384567260742188,-11.600958824157717,-35.05153274536133,50.90815734863281,32.607852935791016,-66.26573181152344,6.356632232666016,94.46489715576172,-78.27335357666016,-130.31626892089844,99.5498046875,39.09229278564453,-222.00784301757807,12.461393356323242,263.6459045410156,-120.19957733154295
2229,2229.0,2064281.2032282,6.74755859375,26.102087020874023,43.32265853881836,38.79387283325195,25.606874465942383,-12.9605073928833,-69.29011535644531,-78.34890747070312,-129.6019744873047,-146.5191192626953,-51.07036590576172,49.90825271606445,113.5685577392578,76.92684936523438,199.3420867919922,202.02720642089844
2689,2689.0,2064283.2727306,13.543257713317873,-11.062247276306152,-37.11613082885742,48.92013549804688,25.257360458374023,-78.23194885253906,4.061662197113037,73.10078430175781,-47.65696334838867,-77.73085021972656,173.07632446289062,76.47712707519531,-290.5685729980469,21.161108016967773,55.799781799316406,-117.59986877441406
2919,2919.0,2064284.2869923,-9.251042366027832,-26.38231658935547,-30.89388465881348,-17.22823143005371,26.96677589416504,97.82008361816406,92.46149444580078,81.07442474365234,-16.23378562927246,-138.3323516845703,-226.1349334716797,-108.38880920410156,-55.27093505859375,142.85838317871094,202.67539978027344,146.31069946289062
3149,3149.0,2064285.318459,1.6853872537612915,-6.145014762878418,10.96802043914795,-20.78126335144043,24.294170379638672,-52.628360748291016,42.06891632080078,-92.06684112548828,69.92074584960938,-80.25088500976562,94.35828399658205,-132.96875,229.3126983642578,-140.8751983642578,187.1295928955078,-89.80921173095703
3839,3839.0,2064288.4055286,14.543046951293944,-10.973702430725098,-28.440460205078125,53.13784790039063,30.62998962402344,-64.48804473876953,6.297530174255371,105.45379638671876,-77.9156494140625,-54.68984603881836,157.0728302001953,65.1068115234375,-263.6508483886719,17.224241256713867,112.19143676757812,-87.48831939697266
4069,4069.0,2064289.4562836,-9.401333808898926,-26.46588516235352,-30.583608627319336,-13.073856353759766,36.2708740234375,95.35103607177734,105.6464385986328,85.92881774902344,-11.184950828552246,-142.9664764404297,-210.5812530517578,-77.93704223632812,-37.46341323852539,116.86962127685548,112.26956176757812,325.3987121582031
