3.5924 	WARNING 	Monitor specification not found. Creating a temporary one...
3.6012 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1536, 864]. Using actual size
1187999.7093 	EXP 	START
1188004.1682 	DATA 	Keypress: space
1188004.1719 	EXP 	startBlock
1188004.5065 	EXP 	baseLine
1188006.1468 	EXP 	baseLine
1188007.8011 	EXP 	baseLine
1188009.4444 	EXP 	baseLine
1188011.0962 	EXP 	baseLine
1188012.7414 	EXP 	baseLine
1188014.3648 	EXP 	baseLine
1188015.9835 	EXP 	baseLine
1188017.6208 	EXP 	baseLine
1188019.2436 	EXP 	baseLine
1188021.2707 	EXP 	baseLine
1188022.9210 	EXP 	baseLine
1188024.5166 	EXP 	baseLine
1188026.1216 	EXP 	baseLine
1188027.7553 	EXP 	baseLine
1188029.3730 	EXP 	baseLine
1188030.9854 	EXP 	baseLine
1188032.5958 	EXP 	distractor
1188034.2332 	EXP 	distractor
1188035.8496 	EXP 	target
1188037.4734 	EXP 	baseLine
1188039.0805 	EXP 	baseLine
1188040.7075 	EXP 	baseLine
1188042.3521 	EXP 	baseLine
1188043.9825 	EXP 	baseLine
1188045.5982 	EXP 	baseLine
1188047.2503 	EXP 	baseLine
1188048.9014 	EXP 	baseLine
1188050.5391 	EXP 	baseLine
1188052.1874 	EXP 	target
1188062.3016 	DATA 	Keypress: space
1188062.3049 	EXP 	startBlock
1188062.5157 	EXP 	baseLine
1188064.1514 	EXP 	baseLine
1188065.7656 	EXP 	baseLine
1188067.3718 	EXP 	baseLine
1188068.9536 	EXP 	baseLine
1188070.5612 	EXP 	baseLine
1188072.1728 	EXP 	baseLine
1188073.7779 	EXP 	target
1188075.3781 	EXP 	distractor
1188076.9843 	EXP 	target
1188078.5931 	EXP 	baseLine
1188080.2197 	EXP 	baseLine
1188081.8335 	EXP 	baseLine
1188083.4526 	EXP 	baseLine
1188085.0609 	EXP 	distractor
1188086.6738 	EXP 	baseLine
1188088.2638 	EXP 	baseLine
1188089.8765 	EXP 	baseLine
1188091.4927 	EXP 	distractor
1188093.1047 	EXP 	baseLine
1188094.6901 	EXP 	baseLine
1188096.3028 	EXP 	target
1188097.8930 	EXP 	baseLine
1188099.4960 	EXP 	baseLine
1188101.0994 	EXP 	baseLine
1188102.6812 	EXP 	distractor
1188104.2712 	EXP 	baseLine
1188105.8667 	EXP 	distractor
1188107.4745 	EXP 	baseLine
1188109.0908 	EXP 	target
1188114.3300 	DATA 	Keypress: space
1188114.3348 	EXP 	startBlock
1188114.5406 	EXP 	baseLine
1188116.1556 	EXP 	baseLine
1188117.7512 	EXP 	baseLine
1188119.3664 	EXP 	baseLine
1188120.9690 	EXP 	target
1188122.5677 	EXP 	baseLine
1188124.1654 	EXP 	baseLine
1188125.7546 	EXP 	baseLine
1188127.3682 	EXP 	baseLine
1188128.9931 	EXP 	baseLine
1188130.5788 	EXP 	baseLine
1188132.1795 	EXP 	baseLine
1188133.7671 	EXP 	baseLine
1188135.3679 	EXP 	distractor
1188136.9707 	EXP 	baseLine
1188138.5763 	EXP 	target
1188140.1773 	EXP 	baseLine
1188141.7860 	EXP 	baseLine
1188143.3905 	EXP 	baseLine
1188144.9958 	EXP 	target
1188146.6097 	EXP 	target
1188148.2218 	EXP 	baseLine
1188149.8437 	EXP 	baseLine
1188151.4365 	EXP 	distractor
1188153.0294 	EXP 	baseLine
1188154.6440 	EXP 	baseLine
1188156.2556 	EXP 	distractor
1188157.8680 	EXP 	baseLine
1188159.4722 	EXP 	distractor
1188161.0840 	EXP 	distractor
1188164.2988 	DATA 	Keypress: space
1188164.3029 	EXP 	startBlock
1188164.5044 	EXP 	baseLine
1188166.1171 	EXP 	baseLine
1188167.7173 	EXP 	baseLine
1188169.3196 	EXP 	baseLine
1188170.9130 	EXP 	baseLine
1188172.5367 	EXP 	target
1188174.1493 	EXP 	target
1188175.7339 	EXP 	baseLine
1188177.3368 	EXP 	baseLine
1188178.9840 	EXP 	baseLine
1188180.6013 	EXP 	baseLine
1188182.2102 	EXP 	distractor
1188183.8158 	EXP 	baseLine
1188185.4383 	EXP 	baseLine
1188187.0513 	EXP 	target
1188188.6614 	EXP 	baseLine
1188190.2968 	EXP 	baseLine
1188191.9107 	EXP 	baseLine
1188193.5129 	EXP 	baseLine
1188195.1002 	EXP 	target
1188196.6939 	EXP 	baseLine
1188198.3088 	EXP 	baseLine
1188199.9207 	EXP 	distractor
1188201.5279 	EXP 	baseLine
1188203.1606 	EXP 	baseLine
1188204.7589 	EXP 	baseLine
1188206.3635 	EXP 	baseLine
1188207.9795 	EXP 	baseLine
1188209.5931 	EXP 	baseLine
1188211.2069 	EXP 	baseLine
1188214.9754 	DATA 	Keypress: space
1188214.9788 	EXP 	startBlock
1188215.1859 	EXP 	baseLine
1188216.7812 	EXP 	baseLine
1188218.3789 	EXP 	target
1188219.9932 	EXP 	baseLine
1188221.6162 	EXP 	distractor
1188223.2380 	EXP 	baseLine
1188224.8660 	EXP 	baseLine
1188226.4825 	EXP 	baseLine
1188228.3710 	EXP 	target
1188229.9759 	EXP 	baseLine
1188231.5810 	EXP 	distractor
1188233.1903 	EXP 	distractor
1188234.8080 	EXP 	baseLine
1188236.4230 	EXP 	baseLine
1188238.0780 	EXP 	baseLine
1188239.6607 	EXP 	baseLine
1188241.2671 	EXP 	baseLine
1188242.8557 	EXP 	baseLine
1188244.4570 	EXP 	target
1188246.0893 	EXP 	baseLine
1188247.7073 	EXP 	baseLine
1188249.3293 	EXP 	distractor
1188250.9352 	EXP 	distractor
1188252.5335 	EXP 	baseLine
1188254.1570 	EXP 	distractor
1188255.7629 	EXP 	baseLine
1188257.3767 	EXP 	baseLine
1188258.9815 	EXP 	baseLine
1188260.6005 	EXP 	distractor
1188262.2440 	EXP 	baseLine
