index,timeStamp,description
0,1188594.0377,START
1,1188598.0157,startBlock
2,1188598.3598,baseLine
3,1188599.9744,baseLine
4,1188601.5839,baseLine
5,1188603.1953,baseLine
6,1188604.8042,baseLine
7,1188606.4223,distractor
8,1188608.0420,distractor
9,1188609.6558,distractor
10,1188611.2606,baseLine
11,1188612.8690,distractor
12,1188614.4776,baseLine
13,1188616.0920,target
14,1188617.6950,baseLine
15,1188619.3056,baseLine
16,1188620.9079,target
17,1188622.5112,baseLine
18,1188624.1238,target
19,1188625.7169,baseLine
20,1188627.3279,baseLine
21,1188628.9322,target
22,1188630.5465,baseLine
23,1188632.1461,baseLine
24,1188633.7645,baseLine
25,1188635.3775,baseLine
26,1188636.9981,distractor
27,1188638.6102,baseLine
28,1188640.5334,baseLine
29,1188642.1323,baseLine
30,1188643.7422,target
31,1188645.3504,target
32,1188649.7659,startBlock
33,1188649.9721,baseLine
34,1188651.5836,baseLine
35,1188653.1945,target
36,1188654.7913,baseLine
37,1188656.3919,distractor
38,1188658.0811,baseLine
39,1188659.6971,baseLine
40,1188661.3100,distractor
41,1188662.8979,baseLine
42,1188664.4976,baseLine
43,1188666.1112,distractor
44,1188667.7187,target
45,1188669.3236,baseLine
46,1188670.9193,baseLine
47,1188672.5315,baseLine
48,1188674.1375,target
49,1188675.7362,distractor
50,1188677.3543,baseLine
51,1188678.9641,baseLine
52,1188680.5805,baseLine
53,1188682.1862,target
54,1188683.7843,distractor
55,1188685.3915,target
56,1188686.9936,baseLine
57,1188688.5923,baseLine
58,1188690.1864,baseLine
59,1188693.4863,baseLine
60,1188695.0996,baseLine
61,1188696.7060,target
62,1188698.3077,distractor
63,1188704.3581,startBlock
64,1188704.5641,distractor
65,1188706.1608,baseLine
66,1188707.7536,baseLine
67,1188709.3680,baseLine
68,1188710.9694,baseLine
69,1188712.5798,distractor
70,1188714.1878,baseLine
71,1188715.7693,distractor
72,1188717.3669,baseLine
73,1188718.9814,baseLine
74,1188720.5879,distractor
75,1188722.1910,baseLine
76,1188723.7870,distractor
77,1188725.3954,target
78,1188726.9886,baseLine
79,1188728.5994,baseLine
80,1188730.1992,target
81,1188731.7900,target
82,1188733.3751,baseLine
83,1188734.9747,baseLine
84,1188736.5906,distractor
85,1188738.1802,baseLine
86,1188739.7692,baseLine
87,1188741.3732,target
88,1188742.9846,baseLine
89,1188744.5858,baseLine
90,1188746.1926,baseLine
91,1188747.7908,baseLine
92,1188749.3892,baseLine
93,1188750.9806,distractor
94,1188755.2059,startBlock
95,1188755.4112,target
96,1188757.0168,distractor
97,1188758.6279,baseLine
98,1188760.2288,baseLine
99,1188761.8358,baseLine
100,1188763.4321,baseLine
101,1188765.0185,baseLine
102,1188766.6211,target
103,1188768.2266,baseLine
104,1188769.8192,baseLine
105,1188771.4276,baseLine
106,1188773.0236,baseLine
107,1188774.6332,distractor
108,1188776.3070,baseLine
109,1188777.9106,distractor
110,1188779.5639,baseLine
111,1188781.1780,baseLine
112,1188782.7828,baseLine
113,1188784.3804,distractor
114,1188785.9848,baseLine
115,1188787.5886,baseLine
116,1188789.1986,baseLine
117,1188790.8094,baseLine
118,1188792.4251,target
119,1188794.0276,target
120,1188795.6186,baseLine
121,1188797.2110,distractor
122,1188798.8276,baseLine
123,1188800.4205,baseLine
124,1188802.0186,baseLine
125,1188805.2370,startBlock
126,1188805.4309,baseLine
127,1188807.0311,distractor
128,1188808.6384,baseLine
129,1188810.2503,baseLine
130,1188811.8582,baseLine
131,1188813.4472,baseLine
132,1188815.0478,baseLine
133,1188816.6439,baseLine
134,1188818.2315,distractor
135,1188819.8282,baseLine
136,1188821.4311,baseLine
137,1188823.0413,baseLine
138,1188824.6510,target
139,1188826.2504,target
140,1188827.8502,baseLine
141,1188829.4554,baseLine
142,1188831.0584,distractor
143,1188832.6686,baseLine
144,1188834.2686,distractor
145,1188835.8533,baseLine
146,1188837.4680,target
147,1188839.0690,distractor
148,1188840.6691,baseLine
149,1188842.2734,target
150,1188843.8827,distractor
151,1188845.5097,target
152,1188847.1060,distractor
153,1188848.7197,baseLine
154,1188850.3315,baseLine
155,1188851.9353,baseLine
