5.3402 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.1749 	WARNING 	Monitor specification not found. Creating a temporary one...
6.1823 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1120, 700]. Using actual size
143456.3758 	EXP 	START
143458.3390 	DATA 	Keypress: space
143458.3419 	EXP 	startBlock
143458.3579 	EXP 	target
143459.7624 	EXP 	distractor
143461.1747 	EXP 	baseLine
143462.5831 	EXP 	baseLine
143463.9879 	EXP 	baseLine
143465.3960 	EXP 	baseLine
143466.8041 	EXP 	baseLine
143468.2093 	EXP 	distractor
143469.6179 	EXP 	distractor
143471.0281 	EXP 	baseLine
143472.4325 	EXP 	baseLine
143473.8396 	EXP 	baseLine
143475.2426 	EXP 	baseLine
143476.6478 	EXP 	target
143478.0535 	EXP 	baseLine
143479.4580 	EXP 	baseLine
143480.8638 	EXP 	baseLine
143482.2706 	EXP 	distractor
143483.6768 	EXP 	baseLine
143485.0817 	EXP 	baseLine
143486.4872 	EXP 	distractor
143487.8969 	EXP 	baseLine
143489.3071 	EXP 	baseLine
143490.7117 	EXP 	baseLine
143492.1192 	EXP 	target
143493.5244 	EXP 	baseLine
143494.9296 	EXP 	baseLine
143496.3345 	EXP 	baseLine
143497.7411 	EXP 	target
143499.1455 	EXP 	baseLine
143500.5498 	EXP 	baseLine
143501.9539 	EXP 	distractor
143503.3593 	EXP 	baseLine
143504.7632 	EXP 	baseLine
143506.1685 	EXP 	baseLine
143507.5731 	EXP 	distractor
143508.9836 	EXP 	distractor
143510.3881 	EXP 	distractor
143511.7950 	EXP 	baseLine
143513.1998 	EXP 	baseLine
143514.6059 	EXP 	baseLine
143516.0137 	EXP 	baseLine
143517.4183 	EXP 	baseLine
143518.8331 	EXP 	baseLine
143520.2383 	EXP 	distractor
143521.6423 	EXP 	baseLine
143523.0497 	EXP 	distractor
143524.4553 	EXP 	baseLine
143525.8619 	EXP 	baseLine
143527.2669 	EXP 	baseLine
143528.6711 	EXP 	baseLine
143530.0747 	EXP 	baseLine
143531.4910 	EXP 	baseLine
143532.8956 	EXP 	baseLine
143534.3016 	EXP 	baseLine
143535.7066 	EXP 	distractor
143537.1110 	EXP 	target
143538.5182 	EXP 	baseLine
143539.9279 	EXP 	baseLine
143541.3338 	EXP 	distractor
143542.7408 	EXP 	baseLine
143544.1508 	EXP 	baseLine
143545.5621 	EXP 	baseLine
