index,timeStamp,description
257,323391.1292,baseLine
258,323392.5350,baseLine
259,323393.9444,distractor
260,323395.3506,baseLine
261,323396.7561,target
262,323398.1609,baseLine
263,323399.5687,distractor
264,323400.9736,distractor
265,323402.3783,distractor
266,323403.7827,baseLine
267,323405.1890,target
268,323406.5926,baseLine
269,323407.9993,baseLine
270,323409.4041,target
271,323410.8079,baseLine
272,323412.2118,baseLine
273,323413.6188,baseLine
274,323415.0227,baseLine
275,323416.4270,target
276,323417.8310,baseLine
277,323419.2393,baseLine
278,323420.6431,baseLine
279,323422.0521,target
280,323423.4552,target
281,323424.8603,baseLine
282,323426.2649,target
283,323427.6694,baseLine
284,323429.0740,baseLine
285,323430.4798,baseLine
286,323431.8829,distractor
287,323433.2856,distractor
288,323434.6928,baseLine
289,323436.0975,baseLine
290,323437.5013,baseLine
291,323438.9051,target
292,323440.3188,baseLine
293,323441.7231,baseLine
294,323443.1346,baseLine
295,323444.5401,baseLine
296,323445.9502,baseLine
297,323447.3537,baseLine
298,323448.7603,distractor
299,323450.1676,baseLine
300,323451.5702,target
301,323452.9739,baseLine
302,323454.3795,baseLine
303,323455.7823,target
304,323457.1860,target
305,323458.5920,baseLine
306,323459.9959,baseLine
307,323461.4004,baseLine
308,323462.8049,baseLine
309,323464.2099,target
310,323465.6145,baseLine
311,323467.0205,target
312,323468.4244,baseLine
313,323469.8290,baseLine
314,323471.2325,target
315,323472.6361,baseLine
316,323474.0411,baseLine
317,323475.4453,distractor
318,323476.8517,baseLine
319,323478.2549,baseLine
320,323479.6591,baseLine
321,323481.0662,target
322,323482.4756,distractor
323,323483.8814,target
324,323485.2854,baseLine
325,323486.6894,baseLine
326,323488.0942,baseLine
327,323489.5015,baseLine
328,323490.9056,baseLine
329,323492.3122,baseLine
330,323493.7155,baseLine
331,323495.1236,target
332,323496.5270,baseLine
333,323497.9309,baseLine
334,323499.3343,baseLine
335,323500.7374,target
336,323502.1444,baseLine
337,323503.5476,baseLine
338,323504.9512,baseLine
339,323506.3539,baseLine
340,323507.7593,baseLine
341,323509.1637,baseLine
342,323510.5702,target
343,323511.9761,baseLine
344,323513.3876,distractor
345,323514.7938,baseLine
346,323516.1989,baseLine
347,323517.6028,baseLine
348,323519.0151,baseLine
349,323520.4194,baseLine
350,323521.8242,distractor
351,323523.2334,target
352,323524.6375,baseLine
353,323526.0446,baseLine
354,323527.4490,distractor
355,323528.8535,distractor
356,323530.2613,baseLine
357,323531.6718,target
358,323533.0762,baseLine
359,323534.4856,baseLine
360,323535.8908,baseLine
361,323537.2980,baseLine
362,323538.7014,distractor
363,323540.1044,baseLine
364,323541.5121,distractor
365,323542.9233,baseLine
366,323544.3270,baseLine
367,323545.7337,target
368,323547.1386,baseLine
369,323548.5432,baseLine
370,323549.9548,distractor
371,323551.3615,baseLine
372,323552.7656,baseLine
373,323554.1698,baseLine
374,323555.5737,baseLine
375,323556.9840,baseLine
376,323558.3887,baseLine
377,323559.7938,baseLine
378,323561.2021,baseLine
379,323562.6061,baseLine
380,323564.0148,baseLine
381,323565.4206,baseLine
382,323566.8265,baseLine
383,323568.2399,baseLine
384,323569.6489,target
385,323571.0524,baseLine
386,323572.4567,baseLine
387,323573.8633,baseLine
388,323575.2661,baseLine
389,323576.6701,baseLine
390,323578.0744,baseLine
391,323579.4809,baseLine
392,323580.8861,baseLine
393,323582.2918,target
394,323583.6940,baseLine
395,323585.0980,baseLine
396,323586.5028,baseLine
397,323587.9072,baseLine
398,323589.3129,baseLine
399,323590.7175,baseLine
400,323592.1231,target
401,323593.5289,distractor
402,323594.9323,baseLine
403,323602.1423,startBlock
404,323602.1589,target
405,323603.5656,baseLine
406,323604.9707,baseLine
407,323606.3782,target
408,323607.7822,baseLine
409,323609.1895,baseLine
410,323610.5936,baseLine
411,323611.9981,baseLine
412,323613.4004,baseLine
413,323614.8067,target
414,323616.2150,distractor
415,323617.6206,distractor
416,323619.0254,target
417,323620.4303,baseLine
418,323621.8374,distractor
419,323623.2412,baseLine
420,323624.6463,baseLine
421,323626.0497,baseLine
422,323627.4527,distractor
423,323628.8621,target
424,323630.2666,target
425,323631.6709,baseLine
426,323633.0769,baseLine
427,323634.4884,target
428,323635.8960,baseLine
429,323637.3062,target
430,323638.7099,baseLine
431,323640.1150,baseLine
432,323641.5217,distractor
433,323642.9247,baseLine
434,323644.3295,baseLine
435,323645.7330,baseLine
436,323647.1372,baseLine
437,323648.5414,baseLine
438,323649.9462,target
439,323651.3523,baseLine
440,323652.7557,baseLine
441,323654.1624,baseLine
442,323655.5679,baseLine
443,323656.9718,distractor
444,323658.3800,distractor
445,323659.7900,target
446,323661.1939,target
447,323662.5976,baseLine
448,323664.0022,baseLine
449,323665.4066,baseLine
450,323666.8131,distractor
451,323668.2177,baseLine
452,323669.6220,baseLine
453,323671.0264,target
454,323672.4326,baseLine
455,323673.8369,target
456,323675.2425,baseLine
457,323676.6457,distractor
458,323678.0498,target
459,323679.4548,target
460,323680.8627,target
461,323682.2660,baseLine
462,323683.6694,distractor
463,323685.0752,baseLine
464,323686.4809,distractor
465,323687.8916,baseLine
466,323689.3007,baseLine
467,323690.7065,distractor
468,323692.1113,baseLine
469,323693.5159,baseLine
470,323694.9218,baseLine
471,323696.3246,baseLine
472,323697.7294,target
473,323699.1338,baseLine
474,323700.5378,baseLine
475,323701.9415,baseLine
476,323703.3492,baseLine
477,323704.7542,distractor
478,323706.1606,baseLine
479,323707.5651,baseLine
480,323708.9733,baseLine
481,323710.3759,baseLine
482,323711.7813,baseLine
483,323713.1859,baseLine
484,323714.5896,baseLine
485,323715.9941,baseLine
486,323717.4017,distractor
487,323718.8097,baseLine
488,323720.2140,baseLine
489,323721.6169,baseLine
490,323723.0204,target
491,323724.4252,baseLine
492,323725.8289,baseLine
493,323727.2355,baseLine
494,323728.6395,target
495,323730.0440,baseLine
496,323731.4482,baseLine
497,323732.8598,baseLine
498,323734.2635,target
499,323735.6722,baseLine
500,323737.0796,distractor
501,323738.4854,baseLine
502,323739.8892,baseLine
503,323741.2935,baseLine
504,323742.6994,distractor
505,323744.1167,target
506,323745.5235,target
507,323746.9265,target
508,323748.3309,target
509,323749.7384,baseLine
510,323751.1462,baseLine
511,323752.5504,baseLine
512,323753.9525,target
513,323755.3623,baseLine
514,323756.7682,distractor
515,323758.1794,baseLine
516,323759.5859,baseLine
517,323760.9905,baseLine
518,323762.3951,target
519,323763.7978,baseLine
520,323765.2009,baseLine
521,323766.6068,target
522,323768.0117,baseLine
523,323769.4209,target
524,323770.8268,distractor
525,323772.2329,distractor
526,323773.6374,baseLine
527,323775.0417,target
528,323776.4463,baseLine
529,323777.8500,baseLine
530,323779.2545,baseLine
531,323780.6589,distractor
532,323782.0641,baseLine
533,323783.4686,baseLine
534,323784.8753,baseLine
535,323786.2776,baseLine
536,323787.6831,baseLine
537,323789.0877,target
538,323790.4945,baseLine
539,323791.8992,baseLine
540,323793.3043,distractor
541,323794.7073,baseLine
542,323796.1109,baseLine
543,323797.5178,baseLine
544,323798.9244,distractor
545,323800.3272,distractor
546,323801.7363,baseLine
547,323803.1428,target
548,323804.5490,baseLine
549,323805.9530,baseLine
550,323807.3569,baseLine
551,323808.7615,baseLine
552,323810.1645,target
553,323811.5679,baseLine
554,323812.9733,baseLine
555,323814.3805,baseLine
556,323815.7889,baseLine
557,323817.1933,distractor
558,323818.5967,baseLine
559,323819.9992,baseLine
560,323821.4054,baseLine
561,323822.8103,distractor
562,323824.2213,baseLine
563,323825.6243,baseLine
564,323827.0299,baseLine
565,323828.4373,baseLine
566,323829.8429,target
567,323831.2487,baseLine
568,323832.6532,baseLine
569,323834.0580,target
570,323835.4625,baseLine
571,323836.8654,baseLine
572,323838.2713,distractor
573,323839.6760,baseLine
574,323841.0805,target
575,323842.4907,baseLine
576,323843.8979,distractor
577,323845.3071,baseLine
578,323846.7115,baseLine
579,323848.1159,baseLine
580,323849.5240,target
581,323850.9329,baseLine
582,323852.3372,distractor
583,323853.7497,distractor
584,323855.1537,baseLine
585,323856.5590,baseLine
586,323857.9622,baseLine
587,323859.3679,baseLine
588,323860.7716,baseLine
589,323862.1755,baseLine
590,323863.5797,target
591,323864.9862,distractor
592,323866.3895,baseLine
593,323867.7928,target
594,323869.1996,distractor
595,323870.6031,baseLine
596,323872.0088,baseLine
597,323873.4127,baseLine
598,323874.8169,baseLine
599,323876.2236,baseLine
600,323877.6273,baseLine
601,323879.0341,baseLine
602,323880.4371,baseLine
603,323881.8431,baseLine
604,323888.2060,startBlock
605,323888.2139,target
606,323889.6168,baseLine
607,323891.0208,baseLine
608,323892.4267,target
609,323893.8321,target
610,323895.2374,baseLine
611,323896.6447,baseLine
612,323898.0479,target
613,323899.4541,distractor
614,323900.8579,baseLine
615,323902.2628,distractor
616,323903.6668,baseLine
617,323905.0698,distractor
618,323906.4739,baseLine
619,323907.8767,target
620,323909.2802,distractor
621,323910.6843,baseLine
622,323912.0915,baseLine
623,323913.4963,baseLine
624,323914.8995,baseLine
625,323916.3034,baseLine
626,323917.7078,baseLine
627,323919.1150,baseLine
628,323920.5205,baseLine
629,323921.9300,distractor
630,323923.3360,target
631,323924.7396,baseLine
632,323926.1454,baseLine
633,323927.5526,distractor
634,323928.9631,baseLine
635,323930.3692,baseLine
636,323931.7743,baseLine
637,323933.1830,distractor
638,323934.5909,baseLine
639,323935.9957,baseLine
640,323937.4006,baseLine
641,323938.8096,baseLine
642,323940.2131,baseLine
643,323941.6163,baseLine
644,323943.0219,distractor
645,323944.4249,baseLine
646,323945.8293,baseLine
647,323947.2415,target
648,323948.6446,baseLine
649,323950.0490,baseLine
650,323951.4571,baseLine
651,323952.8611,baseLine
652,323954.2656,baseLine
653,323955.6716,baseLine
654,323957.0744,baseLine
655,323958.4838,baseLine
656,323959.8878,baseLine
657,323961.2914,baseLine
658,323962.7025,target
659,323964.1068,distractor
660,323965.5118,baseLine
661,323966.9205,baseLine
662,323968.3287,target
663,323969.7334,distractor
664,323971.1366,baseLine
665,323972.5423,distractor
666,323973.9492,baseLine
667,323975.3531,baseLine
668,323976.7586,distractor
669,323978.1635,baseLine
670,323979.5660,baseLine
671,323980.9708,baseLine
672,323982.3746,baseLine
673,323983.7771,baseLine
674,323985.1817,baseLine
675,323986.5868,distractor
676,323987.9904,baseLine
677,323989.3989,baseLine
678,323990.8043,baseLine
679,323992.2095,baseLine
680,323993.6149,distractor
681,323995.0209,baseLine
682,323996.4246,baseLine
683,323997.8280,baseLine
684,323999.2323,baseLine
685,324000.6372,baseLine
686,324002.0416,baseLine
687,324003.4445,baseLine
688,324004.8476,distractor
689,324006.2572,distractor
690,324007.6626,baseLine
691,324009.0681,distractor
692,324010.4723,target
693,324011.8752,baseLine
694,324013.2778,baseLine
695,324014.6866,target
696,324016.0918,distractor
697,324017.4953,baseLine
698,324018.8993,baseLine
699,324020.3034,baseLine
700,324021.7080,target
701,324023.1129,distractor
702,324024.5175,target
703,324025.9217,target
704,324027.3252,baseLine
705,324028.7291,baseLine
706,324030.1353,distractor
707,324031.5401,baseLine
708,324032.9480,baseLine
709,324034.3555,baseLine
710,324035.7651,distractor
711,324037.1721,baseLine
712,324038.5811,baseLine
713,324039.9876,baseLine
714,324041.3921,baseLine
715,324042.7981,target
716,324044.2027,baseLine
717,324045.6082,baseLine
718,324047.0148,baseLine
719,324048.4198,baseLine
720,324049.8270,baseLine
721,324051.2309,baseLine
722,324052.6373,baseLine
723,324054.0432,baseLine
724,324055.4481,baseLine
725,324056.8572,target
726,324058.2602,baseLine
727,324059.6649,target
728,324061.0683,distractor
729,324062.4738,baseLine
730,324063.8781,baseLine
731,324065.2836,baseLine
732,324066.6864,baseLine
733,324068.0909,baseLine
734,324069.4943,distractor
735,324070.8975,target
736,324072.3017,baseLine
737,324073.7121,target
738,324075.1151,distractor
739,324076.5186,distractor
740,324077.9241,baseLine
741,324079.3274,baseLine
742,324080.7314,baseLine
743,324082.1380,baseLine
744,324083.5430,baseLine
745,324084.9577,baseLine
746,324086.3610,baseLine
747,324087.7639,distractor
748,324089.1700,baseLine
749,324090.5723,baseLine
750,324091.9765,target
751,324093.3804,target
752,324094.7842,baseLine
753,324096.1903,distractor
754,324097.5949,target
755,324098.9984,baseLine
756,324100.4027,target
757,324101.8068,baseLine
758,324103.2118,baseLine
759,324104.6194,baseLine
760,324106.0256,baseLine
761,324107.4346,distractor
762,324108.8405,target
763,324110.2457,baseLine
764,324111.6486,baseLine
765,324113.0539,target
766,324114.4590,baseLine
767,324115.8683,target
768,324117.2718,baseLine
769,324118.6762,baseLine
770,324120.0809,target
771,324121.4896,baseLine
772,324122.8982,baseLine
773,324124.3095,baseLine
774,324125.7162,baseLine
775,324127.1243,distractor
776,324128.5284,baseLine
777,324129.9332,baseLine
778,324131.3371,baseLine
779,324132.7438,baseLine
780,324134.1513,baseLine
781,324135.5572,baseLine
782,324136.9616,distractor
783,324138.3664,baseLine
784,324139.7764,baseLine
785,324141.1852,baseLine
786,324142.5895,baseLine
787,324143.9936,baseLine
788,324145.3967,baseLine
789,324146.8019,baseLine
790,324148.2062,baseLine
791,324149.6104,baseLine
792,324151.0137,baseLine
793,324152.4193,baseLine
794,324153.8304,target
795,324155.2329,baseLine
796,324156.6372,baseLine
797,324158.0496,baseLine
798,324159.4541,baseLine
799,324160.8585,distractor
800,324162.2646,baseLine
801,324163.6678,baseLine
802,324165.0704,baseLine
803,324166.4745,baseLine
804,324167.8789,distractor
805,324173.6733,startBlock
806,324173.6864,baseLine
807,324175.0906,baseLine
808,324176.4961,target
809,324177.9077,target
810,324179.3148,baseLine
811,324180.7213,baseLine
812,324182.1251,distractor
813,324183.5316,baseLine
814,324184.9368,baseLine
815,324186.3422,baseLine
816,324187.7480,distractor
817,324189.1521,baseLine
818,324190.5577,target
819,324191.9622,distractor
820,324193.3650,baseLine
821,324194.7697,baseLine
822,324196.1786,target
823,324197.5849,target
824,324198.9887,target
825,324200.3930,baseLine
826,324201.7997,baseLine
827,324203.2083,target
828,324204.6118,baseLine
829,324206.0159,distractor
830,324207.4213,baseLine
831,324208.8310,baseLine
832,324210.2353,baseLine
833,324211.6439,target
834,324213.0478,baseLine
835,324214.4521,distractor
836,324215.8554,baseLine
837,324217.2630,baseLine
838,324218.6678,baseLine
839,324220.0745,baseLine
840,324221.4813,baseLine
841,324222.8851,baseLine
842,324224.2924,baseLine
843,324225.6972,target
844,324227.1008,distractor
845,324228.5043,baseLine
846,324229.9109,baseLine
847,324231.3140,distractor
848,324232.7184,baseLine
849,324234.1228,baseLine
850,324235.5267,baseLine
851,324236.9333,baseLine
852,324238.3359,distractor
853,324239.7407,baseLine
854,324241.1444,baseLine
855,324242.5511,baseLine
856,324243.9550,baseLine
857,324245.3605,baseLine
858,324246.7699,distractor
859,324248.1762,baseLine
860,324249.5795,baseLine
861,324250.9869,baseLine
862,324252.3930,baseLine
863,324253.7958,baseLine
864,324255.2020,baseLine
865,324256.6116,distractor
866,324258.0140,target
867,324259.4190,baseLine
868,324260.8241,baseLine
869,324262.2265,baseLine
870,324263.6294,baseLine
871,324265.0335,baseLine
872,324266.4376,target
873,324267.8416,target
874,324269.2493,baseLine
875,324270.6536,baseLine
876,324272.0595,baseLine
877,324273.4669,baseLine
878,324274.8749,baseLine
879,324276.2802,baseLine
880,324277.6831,distractor
881,324279.0873,baseLine
882,324280.4908,distractor
883,324281.8989,distractor
884,324283.3037,baseLine
885,324284.7098,baseLine
886,324286.1161,baseLine
887,324287.5201,baseLine
888,324288.9249,target
889,324290.3288,baseLine
890,324291.7317,baseLine
891,324293.1365,baseLine
892,324294.5434,baseLine
893,324295.9488,baseLine
894,324297.3527,baseLine
895,324298.7583,baseLine
896,324300.1627,baseLine
897,324301.5700,baseLine
898,324302.9737,baseLine
899,324304.3823,baseLine
900,324305.7864,baseLine
901,324307.1945,baseLine
902,324308.5968,baseLine
903,324310.0004,baseLine
904,324311.4061,baseLine
905,324312.8138,target
906,324314.2170,distractor
907,324315.6240,baseLine
908,324317.0285,baseLine
909,324318.4342,baseLine
910,324319.8389,distractor
911,324321.2438,baseLine
912,324322.6476,baseLine
913,324324.0519,baseLine
914,324325.4560,target
915,324326.8603,baseLine
916,324328.2674,distractor
917,324329.6746,baseLine
918,324331.0797,target
919,324332.4874,target
920,324333.8931,baseLine
921,324335.3003,baseLine
922,324336.7049,baseLine
923,324338.1132,baseLine
924,324339.5169,target
925,324340.9248,baseLine
926,324342.3283,baseLine
927,324343.7329,baseLine
928,324345.1366,baseLine
929,324346.5421,target
930,324347.9454,baseLine
931,324349.3500,baseLine
932,324350.7543,target
933,324352.1578,target
934,324353.5615,baseLine
935,324354.9651,baseLine
936,324356.3704,baseLine
937,324357.7747,baseLine
938,324359.1793,baseLine
939,324360.5824,distractor
940,324361.9846,target
941,324363.3910,distractor
942,324364.7965,distractor
943,324366.2005,baseLine
944,324367.6043,baseLine
945,324369.0126,distractor
946,324370.4183,baseLine
947,324371.8214,target
948,324373.2247,baseLine
949,324374.6287,target
950,324376.0328,baseLine
951,324377.4383,distractor
952,324378.8432,distractor
953,324380.2464,baseLine
954,324381.6514,baseLine
955,324383.0560,baseLine
956,324384.4692,baseLine
957,324385.8737,baseLine
958,324387.2772,baseLine
959,324388.6816,baseLine
960,324390.0870,baseLine
961,324391.4937,baseLine
962,324392.8984,baseLine
963,324394.3056,target
964,324395.7080,baseLine
965,324397.1109,target
966,324398.5161,baseLine
967,324399.9207,baseLine
968,324401.3239,baseLine
969,324402.7272,baseLine
970,324404.1313,distractor
971,324405.5385,baseLine
972,324406.9443,baseLine
973,324408.3467,baseLine
974,324409.7504,baseLine
975,324411.1552,baseLine
976,324412.5598,baseLine
977,324413.9647,baseLine
978,324415.3695,distractor
979,324416.7749,distractor
980,324418.1801,baseLine
981,324419.5858,baseLine
982,324420.9929,baseLine
983,324422.4007,baseLine
984,324423.8053,distractor
985,324425.2104,distractor
986,324426.6146,distractor
987,324428.0214,distractor
988,324429.4257,baseLine
989,324430.8323,distractor
990,324432.2399,distractor
991,324433.6433,baseLine
992,324435.0493,baseLine
993,324436.4540,baseLine
994,324437.8579,baseLine
995,324439.2610,baseLine
996,324440.6667,baseLine
997,324442.0722,baseLine
998,324443.4742,baseLine
999,324444.8797,baseLine
1000,324446.2854,baseLine
1001,324447.6910,target
1002,324449.0950,baseLine
1003,324450.5024,baseLine
1004,324451.9085,baseLine
1005,324453.3119,distractor
