index,timeStamp,description
0,143456.3758,START
1,143458.3419,startBlock
2,143458.3579,target
3,143459.7624,distractor
4,143461.1747,baseLine
5,143462.5831,baseLine
6,143463.9879,baseLine
7,143465.3960,baseLine
8,143466.8041,baseLine
9,143468.2093,distractor
10,143469.6179,distractor
11,143471.0281,baseLine
12,143472.4325,baseLine
13,143473.8396,baseLine
14,143475.2426,baseLine
15,143476.6478,target
16,143478.0535,baseLine
17,143479.4580,baseLine
18,143480.8638,baseLine
19,143482.2706,distractor
20,143483.6768,baseLine
21,143485.0817,baseLine
22,143486.4872,distractor
23,143487.8969,baseLine
24,143489.3071,baseLine
25,143490.7117,baseLine
26,143492.1192,target
27,143493.5244,baseLine
28,143494.9296,baseLine
29,143496.3345,baseLine
30,143497.7411,target
31,143499.1455,baseLine
32,143500.5498,baseLine
33,143501.9539,distractor
34,143503.3593,baseLine
35,143504.7632,baseLine
36,143506.1685,baseLine
37,143507.5731,distractor
38,143508.9836,distractor
39,143510.3881,distractor
40,143511.7950,baseLine
41,143513.1998,baseLine
42,143514.6059,baseLine
43,143516.0137,baseLine
44,143517.4183,baseLine
45,143518.8331,baseLine
46,143520.2383,distractor
47,143521.6423,baseLine
48,143523.0497,distractor
49,143524.4553,baseLine
50,143525.8619,baseLine
51,143527.2669,baseLine
52,143528.6711,baseLine
53,143530.0747,baseLine
54,143531.4910,baseLine
55,143532.8956,baseLine
56,143534.3016,baseLine
57,143535.7066,distractor
58,143537.1110,target
59,143538.5182,baseLine
60,143539.9279,baseLine
61,143541.3338,distractor
62,143542.7408,baseLine
63,143544.1508,baseLine
64,143545.5621,baseLine
65,143546.9657,baseLine
66,143548.3739,baseLine
67,143549.7834,baseLine
68,143551.1916,baseLine
69,143552.5997,distractor
70,143554.0046,baseLine
71,143555.4125,baseLine
72,143556.8165,baseLine
73,143558.2233,distractor
74,143559.6292,target
75,143561.0359,baseLine
76,143562.4409,baseLine
77,143563.8449,distractor
78,143565.2549,baseLine
79,143566.6606,target
80,143568.0684,baseLine
81,143569.4762,baseLine
82,143570.8796,baseLine
83,143572.2848,distractor
84,143573.6903,target
85,143575.0972,distractor
86,143576.5012,target
87,143577.9058,baseLine
88,143579.3185,baseLine
89,143580.7245,baseLine
90,143582.1298,baseLine
91,143583.5336,baseLine
92,143584.9410,baseLine
93,143586.3466,distractor
94,143587.7529,baseLine
95,143589.1578,target
96,143590.5625,target
97,143591.9694,distractor
98,143593.3761,distractor
99,143594.7845,target
100,143596.1906,distractor
101,143597.5944,baseLine
102,143599.0041,baseLine
103,143600.4096,baseLine
104,143601.8175,baseLine
105,143603.2212,baseLine
106,143604.6293,baseLine
107,143606.0348,distractor
108,143607.4404,baseLine
109,143608.8462,baseLine
110,143610.2523,baseLine
111,143611.6558,distractor
112,143613.0642,baseLine
113,143614.4715,target
114,143615.8815,baseLine
115,143617.2865,baseLine
116,143618.6932,baseLine
117,143620.0976,baseLine
118,143621.5048,baseLine
119,143622.9081,baseLine
120,143624.3127,baseLine
121,143625.7172,baseLine
122,143627.1217,baseLine
123,143628.5303,baseLine
124,143629.9382,baseLine
125,143631.3446,baseLine
126,143632.7491,baseLine
127,143634.1590,target
128,143635.5663,target
129,143636.9706,baseLine
130,143638.3757,target
131,143639.7807,baseLine
132,143641.1855,baseLine
133,143642.5903,baseLine
134,143643.9940,baseLine
135,143645.4017,baseLine
136,143646.8054,baseLine
137,143648.2167,baseLine
138,143649.6219,baseLine
139,143651.0330,distractor
140,143652.4381,baseLine
141,143653.8419,baseLine
142,143655.2466,target
143,143656.6522,baseLine
144,143658.0565,baseLine
145,143659.4617,baseLine
146,143660.8644,baseLine
147,143662.2749,target
148,143663.6793,baseLine
149,143665.0854,target
150,143666.4935,baseLine
151,143667.8988,baseLine
152,143669.3044,distractor
153,143670.7083,baseLine
154,143672.1144,baseLine
155,143673.5183,baseLine
156,143674.9232,distractor
157,143676.3340,baseLine
158,143677.7428,baseLine
159,143679.1478,baseLine
160,143680.5522,baseLine
161,143681.9612,baseLine
162,143683.3660,target
163,143684.7712,baseLine
164,143686.1762,target
165,143687.5827,distractor
166,143688.9877,target
167,143690.3982,baseLine
168,143691.8024,baseLine
169,143693.2061,distractor
170,143694.6170,baseLine
171,143696.0242,baseLine
172,143697.4290,baseLine
173,143698.8386,baseLine
174,143700.2462,baseLine
175,143701.6563,distractor
176,143703.0604,baseLine
177,143704.4661,baseLine
178,143705.8742,baseLine
179,143707.2824,baseLine
180,143708.6911,baseLine
181,143710.0965,baseLine
182,143711.5010,distractor
183,143712.9065,baseLine
184,143714.3120,baseLine
185,143715.7219,baseLine
186,143717.1290,baseLine
187,143718.5331,target
188,143719.9369,baseLine
189,143721.3418,distractor
190,143722.7469,target
191,143724.1542,baseLine
192,143725.5612,baseLine
193,143726.9638,baseLine
194,143728.3711,baseLine
195,143729.7751,baseLine
196,143731.1797,distractor
197,143732.5888,baseLine
198,143733.9941,baseLine
199,143735.3988,baseLine
200,143736.8040,baseLine
201,143738.2089,distractor
202,143742.0353,startBlock
203,143742.0490,baseLine
204,143743.4548,baseLine
205,143744.8603,target
206,143746.2668,baseLine
207,143747.6746,target
208,143749.0835,baseLine
209,143750.4887,baseLine
210,143751.8952,distractor
211,143753.3005,baseLine
212,143754.7046,baseLine
213,143756.1087,baseLine
214,143757.5126,baseLine
215,143758.9169,baseLine
216,143760.3274,baseLine
217,143761.7323,baseLine
218,143763.1362,baseLine
219,143764.5436,baseLine
220,143765.9522,baseLine
221,143767.3600,baseLine
222,143768.7635,baseLine
223,143770.1688,baseLine
224,143771.5793,baseLine
225,143772.9849,baseLine
226,143774.3898,baseLine
227,143775.7983,distractor
228,143777.2044,baseLine
229,143778.6096,baseLine
230,143780.0144,distractor
231,143781.4192,baseLine
232,143782.8237,target
233,143784.2293,baseLine
234,143785.6342,baseLine
235,143787.0443,baseLine
236,143788.4500,target
237,143789.8560,distractor
238,143791.2627,distractor
239,143792.6720,baseLine
240,143794.0746,distractor
241,143795.4822,baseLine
242,143796.8877,baseLine
243,143798.2917,baseLine
244,143799.7025,baseLine
245,143801.1076,baseLine
246,143802.5130,baseLine
247,143803.9217,distractor
248,143805.3253,baseLine
249,143806.7295,baseLine
250,143808.1330,target
251,143809.5372,baseLine
252,143810.9420,baseLine
253,143812.3459,baseLine
254,143813.7510,target
255,143815.1661,distractor
256,143816.5721,baseLine
257,143817.9797,distractor
258,143819.3904,baseLine
259,143820.7973,baseLine
260,143822.2022,baseLine
261,143823.6078,baseLine
262,143825.0171,baseLine
263,143826.4219,baseLine
264,143827.8298,target
265,143829.2325,baseLine
266,143830.6400,baseLine
267,143832.0447,baseLine
268,143833.4508,target
269,143834.8638,distractor
270,143836.2681,baseLine
271,143837.6734,baseLine
272,143839.0789,baseLine
273,143840.4880,baseLine
274,143841.8952,baseLine
275,143843.3024,distractor
276,143844.7087,baseLine
277,143846.1178,baseLine
278,143847.5262,baseLine
279,143848.9332,baseLine
280,143850.3382,baseLine
281,143851.7429,baseLine
282,143853.1474,baseLine
283,143854.5513,target
284,143855.9554,baseLine
285,143857.3609,baseLine
286,143858.7709,baseLine
287,143860.1766,baseLine
288,143861.5812,baseLine
289,143862.9875,baseLine
290,143864.3938,baseLine
291,143865.7985,baseLine
292,143867.2049,baseLine
293,143868.6125,distractor
294,143870.0170,distractor
295,143871.4218,baseLine
296,143872.8261,baseLine
297,143874.2305,baseLine
298,143875.6350,distractor
299,143877.0453,baseLine
300,143878.4509,baseLine
301,143879.8597,baseLine
302,143881.2650,baseLine
303,143882.6710,baseLine
304,143884.0758,target
305,143885.4859,baseLine
306,143886.8919,target
307,143888.2969,distractor
308,143889.7018,target
309,143891.1091,target
310,143892.5159,baseLine
311,143893.9196,baseLine
312,143895.3239,target
313,143896.7293,baseLine
314,143898.1331,distractor
315,143899.5378,baseLine
316,143900.9434,baseLine
317,143902.3533,baseLine
318,143903.7573,distractor
319,143905.1651,baseLine
320,143906.5746,baseLine
321,143907.9798,baseLine
322,143909.3855,distractor
323,143910.7894,baseLine
324,143912.1936,target
325,143913.5981,baseLine
326,143915.0031,baseLine
327,143916.4067,target
328,143917.8133,baseLine
329,143919.2187,baseLine
330,143920.6260,baseLine
331,143922.0334,baseLine
332,143923.4370,baseLine
333,143924.8434,baseLine
334,143926.2477,baseLine
335,143927.6519,baseLine
336,143929.0579,baseLine
337,143930.4648,baseLine
338,143931.8690,baseLine
339,143933.2746,baseLine
340,143934.6819,baseLine
341,143936.0877,baseLine
342,143937.4944,baseLine
343,143938.8975,baseLine
344,143940.3004,baseLine
345,143941.7086,baseLine
346,143943.1164,target
347,143944.5217,baseLine
348,143945.9263,baseLine
349,143947.3300,baseLine
350,143948.7358,baseLine
351,143950.1400,baseLine
352,143951.5436,baseLine
353,143952.9465,baseLine
354,143954.3550,baseLine
355,143955.7592,baseLine
356,143957.1694,baseLine
357,143958.5760,target
358,143959.9839,baseLine
359,143961.3897,baseLine
360,143962.7948,target
361,143964.2038,distractor
362,143965.6116,baseLine
363,143967.0178,target
364,143968.4263,distractor
365,143969.8301,baseLine
366,143971.2397,baseLine
367,143972.6465,baseLine
368,143974.0501,distractor
369,143975.4535,baseLine
370,143976.8568,baseLine
371,143978.2616,baseLine
372,143979.6668,baseLine
373,143981.0728,baseLine
374,143982.4797,target
375,143983.8882,target
376,143985.2923,target
377,143986.7010,target
378,143988.1136,baseLine
379,143989.5247,baseLine
380,143990.9294,baseLine
381,143992.3337,baseLine
382,143993.7412,baseLine
383,143995.1456,baseLine
384,143996.5527,target
385,143997.9598,baseLine
386,143999.3644,baseLine
387,144000.7695,baseLine
388,144002.1738,baseLine
389,144003.5803,baseLine
390,144004.9844,baseLine
