index,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
0,597238.8355597,-72293.3203125,-75516.6875,-69748.4375,-138034.265625,-107209.6953125,-129060.8046875,-94613.8203125,-102876.4765625,-160784.6875,-96250.34375,-80294.5546875,-117788.171875,-187500.015625,8665.8603515625,8632.9140625,8663.4248046875
1,597238.8355897,-70993.5,-72801.78125,-67363.484375,-132806.734375,-101731.59375,-122976.390625,-86188.8203125,-101318.265625,-160591.3125,-96727.421875,-79633.609375,-117730.1015625,-187500.015625,8663.2451171875,8630.3662109375,8660.83203125
2,597238.8355991,-71719.5078125,-74975.6171875,-69077.1484375,-136337.21875,-106237.171875,-126338.9921875,-93179.390625,-102304.875,-160155.859375,-95255.3984375,-77970.3046875,-117253.8984375,-187500.015625,8595.20703125,8562.23828125,8592.7255859375
3,597238.8356068,-71851.109375,-74194.0703125,-68707.3828125,-135913.359375,-104485.953125,-127049.90625,-90365.84375,-102273.6484375,-161043.15625,-97109.8828125,-81284.6015625,-118070.3203125,-187500.015625,8708.3291015625,8675.248046875,8705.8037109375
4,597238.8356231,-70910.8203125,-73292.265625,-67598.1328125,-133086.359375,-102844.0625,-122537.71875,-87958.203125,-101336.9296875,-160034.15625,-95556.140625,-77567.2109375,-117218.46875,-187500.015625,8587.7861328125,8554.8623046875,8585.4619140625
5,597238.8519686,-72279.8671875,-75514.9453125,-69741.015625,-138016.5625,-107210.546875,-129017.171875,-94617.328125,-102863.2421875,-160773.65625,-96204.9921875,-80250.0078125,-117776.4375,-187500.015625,8665.2568359375,8632.244140625,8662.7763671875
6,597238.8520397,-70988.890625,-72799.5234375,-67361.8515625,-132805.53125,-101729.2734375,-122972.234375,-86186.203125,-101312.5703125,-160594.84375,-96715.4609375,-79651.421875,-117732.203125,-187500.015625,8660.853515625,8627.818359375,8658.529296875
7,597238.8520866,-71693.2421875,-74945.15625,-69046.234375,-136268.734375,-106182.3828125,-126237.984375,-93096.78125,-102276.015625,-160144.234375,-95222.609375,-77931.5703125,-117242.9921875,-187500.015625,8590.7587890625,8557.8798828125,8588.568359375
8,597238.8520998,-71841.546875,-74197.890625,-68708.1015625,-135915.890625,-104501.0234375,-127034.015625,-90391.6640625,-102264.0625,-161037.1875,-97071.3203125,-81266.1171875,-118061.515625,-187500.015625,8706.138671875,8673.080078125,8703.7021484375
9,597238.8521076,-70883.4375,-73256.4140625,-67565.5,-133016.640625,-102779.109375,-122439.65625,-87860.8828125,-101304.3671875,-160027.921875,-95525.7265625,-77549.421875,-117210.4453125,-187500.015625,8587.6298828125,8554.8173828125,8585.39453125
