,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
channel_1,4.800514322125713,1.129294007106994,-2.005902488838908,-1.5528623874355152,1.8682495015126344,3.956938663962764,2.4106373708173,1.1444571312866323,4.425263339811048,8.864012782323387,7.628347640326504,1.4748237530197856,-1.5293846043202937,2.162893327425387,6.776455011838031,6.470628576646803,3.2744137254054357,2.037170349476032,2.877305965327486,3.272368580968255,2.952736325587206,2.4014187259001627,0.9250853494905223,-0.4873864108307432,1.117054064682025,5.513208201065627,8.025789570423967,5.691819000056688,1.2068731405524944,-1.4619825576923282,-2.22586491064885,-3.207819546572022,-4.585960261610026,-4.699106462375102,-3.0640566747574294,-1.4865487132133215,-1.8795351722251756,-3.42116289093916,-2.901283689697593,1.4634155640665296,7.202597600362842,9.648126893013472,7.235108994571795,3.670124456025134,3.350045595180931,5.829397950282293,7.229377066196435,5.543376582447396,1.2099588852143135,-5.354731444535072,-12.297343234982415,-14.963917724777076,-11.426489028450591,-6.989522163389542,-7.477524802853344,-10.496782434966535,-9.560189265604905,-4.586927221482779,-1.5183754250135963,-2.7703181739672904,-4.597868460024272,-3.864374683009319,-1.8021003814973964,-0.4848272578846758,-0.1879587116002837,-0.8143626247888727,-2.198937507598777,-2.889204842580212,-1.74876283066859,-0.4086974128593023,-1.4165337090274397,-4.235359174838798,-5.210700878703411,-2.1553273885871143,2.19741657167743
channel_2,3.253101077068136,-8.172404157212815,-19.00495355365156,-21.910191868992563,-17.25960659235764,-11.679758612306998,-6.960186149033598,2.8194875211674604,20.534916760172734,37.589886781448286,41.91342152004381,32.856211599768315,21.98518194394269,17.206797766379072,12.562822954406968,0.3724160849564397,-12.763429085734156,-13.636871123689938,-1.9873082176423909,9.9056847746416,13.85390511829203,12.030198460579827,11.267700504407866,18.08876707160705,33.14069571630063,46.45238654191302,46.09113272711915,33.877692382837964,23.312502742524,20.785665425744565,19.21449336446629,10.570374406986977,-5.230145931591935,-22.73685124286148,-34.28663866172698,-33.75593259379876,-22.61638211287245,-9.18454823829867,0.4511277859148284,6.871193067991348,11.741701422234213,12.985335344091514,8.817405747783315,2.3586263615677354,-2.0339259579410687,-4.123239221741361,-6.919606935026085,-12.945006281125094,-22.319771140454197,-32.16482762070852,-37.18953669762001,-33.927315488301645,-26.148538037337897,-22.326741228749004,-24.906682663716584,-26.00796233526177,-17.701728868663974,-4.174125356419456,0.998890685553063,-8.723855379859335,-22.940631880239607,-26.21675731077027,-16.866514351067327,-6.003843768424261,-1.214168014615826,-0.6317694719763338,-0.4545623495811481,0.3757211101507631,0.842572890949641,-2.4514537729805577,-12.945305110894177,-27.083795691730387,-33.511237423106245,-25.461659319396087,-11.431324183568774
channel_3,5.623503638161431,-7.396912302359474,-18.32369496641192,-24.670794816906493,-26.7474165430048,-24.81736530929701,-17.339015473790404,-2.7282556629533614,16.30023481536432,30.905109867546837,32.50763149107118,22.732742813724823,13.687390991530464,14.333403931965918,18.503448042849232,13.410488106062031,-0.947042828052568,-11.12865580856495,-9.458574393866632,-2.694573735390712,-0.2663079941655193,-3.1761097389006903,-4.729040609518106,3.167558295148358,21.37597822913856,38.58915892515157,41.0638485778633,28.913844308638524,15.032177499107128,7.399961562696936,2.391191236381056,-4.542934787700377,-12.761753286911675,-20.665092124777324,-25.998357364701704,-23.784467735934143,-12.479709383553194,1.4466766327768426,11.9590597574949,20.35278114387433,26.651742860359324,23.176828148359657,7.573943582865813,-6.961699880387923,-7.375900444720918,1.2379506693025095,3.8816708878523696,-5.734028268623755,-22.86671306629654,-40.60594450043641,-53.11914964147385,-55.41372322444767,-47.73245479967241,-37.73367043985287,-32.15340354844328,-28.0678685098489,-18.648035155088664,-6.814765693182606,-5.243843755293616,-18.830056578421942,-33.99627646596654,-33.89958333918374,-19.51360309092296,-5.4769871491712525,0.3834344855361582,1.998663958158935,3.3605249049825137,3.26476066577696,0.3283465589224752,-4.816028027359927,-11.482666959389595,-17.58657846058287,-17.488594012907022,-7.792829540327103,4.884700890398637
channel_4,5.272689285191311,-10.062395001160516,-22.62573078054939,-29.610958532872058,-30.85954776343112,-27.72355815406648,-20.239190204699952,-6.074826495063191,13.749598741147604,29.37931826027929,30.069631266234666,19.0407996310254,12.62837083338211,19.8572906790818,28.92056485878179,22.36788255582268,1.800462524305443,-13.890156352409658,-13.261487521510562,-3.1618294279975805,4.586534393219238,6.041771827031251,5.361814915675209,10.417954817364766,25.45305932890063,43.01238614208205,48.85816075036703,38.94927810931343,24.150255935814837,14.88476196546142,10.027325428802488,3.7517053263905096,-5.59426567546784,-15.473979401057557,-21.120608050077102,-17.98292765069607,-7.2504581768184515,4.013558707598914,11.846262860422824,19.092332525322085,25.857704196326267,23.86856264048024,8.856647846368471,-8.141352687903794,-12.467101960998985,-4.44854040382241,1.76663264951514,-5.4890238719791,-25.37634192698526,-47.09649738811,-57.9206217022444,-52.31862075080251,-37.96522373921923,-29.53635734139964,-32.123912088599205,-34.55474227384806,-24.648791184619544,-8.03392809792183,-3.847885062647416,-19.81224393037961,-39.36205639740966,-40.88118072560968,-23.62179094854938,-4.524350993895302,5.026529812555312,7.226695135130672,6.676042660619199,3.5963141166316204,-2.3462272025817983,-10.04486500465474,-18.941967007715647,-27.55431421175399,-30.37203588056597,-22.64902496290173,-9.487079367963892
channel_5,-0.0799109376658322,-10.367289394631475,-21.348349490283518,-27.930121661539378,-29.170744657432493,-28.117172442028867,-25.284450495438943,-16.024894247615485,1.600011812319909,19.01927936294416,24.164016912328044,16.873817732634397,10.23448878436257,12.50255444619622,14.363061540969811,3.0809730534219613,-16.041488400257943,-25.557709739745235,-20.124059644091123,-10.88768421326405,-7.775648667541057,-9.685953808658358,-9.816963466143145,-1.6898354746178768,15.989400486833537,34.392106720206186,40.570487077400415,32.84193146020922,22.917986338081818,19.668294123318468,19.382293424945924,14.599460905009288,4.130367511723745,-7.575235795254683,-14.724805731119272,-13.357389576418113,-4.124149284556567,8.509857350997178,20.953543888901084,32.10354698914244,39.52205743335763,38.468988211807854,28.875145799149507,19.164109123949217,17.05500093696163,19.750472416132222,18.0772397496237,6.8683124677572245,-12.256591835629042,-34.185724169327855,-51.61409183730743,-56.5715789489682,-47.70468015795456,-34.91054940732356,-29.281825153908244,-28.32820009509773,-19.563496864979196,-1.3623092690448937,9.091680888454508,-2.73094417529036,-25.773339242542782,-35.15890235843068,-23.68302669376309,-6.653397593703362,2.341947771062204,4.607488735510666,5.757970917475882,5.714413697708218,1.4308567420200164,-7.860426143196164,-19.54177223888908,-28.335869293455712,-28.36891489349433,-18.81499616526725,-7.614875371357767
channel_6,3.786753809790367,-14.375057115624683,-29.336568329948907,-38.43078827255897,-40.40723553681111,-35.49776301290545,-23.23525486912201,-2.38918462563736,22.3521377293485,37.23658748620935,31.81580070625393,14.21815731566244,5.158560660617269,12.930063945987364,21.388550702349782,10.948771039319029,-13.36259068364757,-27.34300698221273,-19.282066533470232,-1.6961404752533862,9.246198695449513,11.682011400853032,13.13131929681002,19.53762696146161,31.72143571944809,44.1716938452309,46.88192808961757,35.575973959666634,18.17026398170656,4.9133633206491725,-3.042573357950063,-10.093451803234483,-17.764800387950253,-23.78919440033848,-24.189518994278487,-15.316745998743292,1.8167694631165296,20.28795978114207,33.081898079024846,37.497367988862194,31.954194599819267,14.207329129442918,-11.19137899674514,-29.14713051202073,-27.393747540996443,-11.530184124601575,0.146980566156103,-4.846760765766565,-23.3046638642451,-41.4738457442115,-46.25762805326501,-34.86447084520858,-18.190090107712678,-12.16782917354934,-21.034067547106996,-31.1816683674645,-26.87614919686892,-11.12232323398603,-3.6418632800918753,-14.615438774862232,-28.808765578147053,-25.6620075642251,-7.524274575060397,6.7107935275902895,9.804600597472742,10.600021111876256,13.69594644845665,12.26690409687811,1.9613357077824127,-11.6633057407861,-22.07017692795713,-28.199975592850613,-29.56920221684688,-24.42922671553113,-15.80611753130448
channel_7,-5.552337452418476,-12.585057113766666,-18.7368032113347,-18.71089407270297,-12.512156002998948,-6.275468724525965,-2.920071803577247,5.1443104769396015,25.450665939579103,48.824210690345005,55.495329766100845,40.45053143554149,20.99640251729911,13.426729690509008,12.711158707041728,5.162017593270726,-7.67477913129669,-12.063367774865927,-3.7535407875090274,8.371298895297612,17.80630262594555,26.635988439770884,37.97953067002573,51.57718200810001,64.21936306292136,68.95664947568183,59.43483335651542,40.26775646717928,26.10586677317596,24.58269839258245,27.097753555283145,21.24047168451472,5.35861684523685,-12.503855481898244,-23.56785992708295,-23.95085075696874,-16.255577088323474,-6.759950563272531,0.9368305198545244,7.968911808143936,14.63603594941786,17.138603364392864,13.645424715131265,8.649223508003306,6.42941104635587,5.136935908153852,0.6125857306842782,-9.115059618984851,-24.292590703344164,-42.503097977123865,-56.32957101821679,-58.45135310312077,-51.40341025102309,-46.23301584388551,-48.0562506876584,-48.36376132166748,-36.63877388919202,-16.61398686639939,-5.296015006909917,-13.92991267157533,-33.4886856711721,-44.47443684035851,-38.72022549508751,-24.03099884798822,-10.316522983902631,-0.8602655005633948,4.341437868154948,5.828123369490495,5.337281957324411,3.3253733803632897,-2.965447951106896,-13.898666215736878,-21.95989176458664,-19.059129508692774,-8.382592528689976
channel_8,9.077090353631036,-5.567708160735712,-18.780027481852187,-26.41646513654208,-26.21282550194488,-18.472610266464702,-4.857679919677421,12.943966981383342,31.89049601794044,44.972736900348885,44.30152715630416,30.758407687829425,17.369133504467175,15.827684097394505,20.934224179796324,18.53352964508996,7.8672262341706976,2.29230426377853,7.901050022497026,16.055707056908158,17.784190550668583,14.06344014662032,12.568858403158762,20.54291765030196,36.53274837246821,46.768541776243424,37.68432370140853,13.327096378309168,-8.661856719507258,-17.959176928442755,-18.77038297757419,-18.743481373194072,-21.421272405320515,-27.103046103146973,-32.00614865903852,-29.37471731710687,-17.71415264445834,-3.7606014744546807,6.89986502994207,15.672194445564289,22.257219130663167,18.649212911659536,1.6415761783338656,-16.24969839430046,-20.53174837931328,-13.566354384349566,-9.607768221462663,-16.84191009698531,-32.30942830900912,-48.9412596463541,-59.94823613367318,-60.57143547114097,-52.7357176110296,-45.16152158880514,-42.98487385942741,-40.22985456641108,-28.95281862687046,-13.683160878707447,-8.671823654358777,-18.836763964625835,-30.97558702153954,-29.94511048184879,-17.445373997236977,-6.508930915825411,-2.9736260657762017,-2.403188547545512,-1.4589708681653302,-2.090555872995548,-5.525830221980487,-9.81422483297256,-13.412037576006728,-15.565130745166718,-13.182003628676576,-4.201906647520425,5.409596059052035
channel_9,14.003213424034607,-3.702835631843103,-17.46618460342915,-23.52053601633175,-25.79117524007428,-26.4048314099073,-21.836869604690268,-7.450480964073885,15.872369311036516,38.4945707663141,47.87260012416792,40.56307798558928,26.33599568989284,17.265636615679657,13.276648455554763,4.454091822633559,-9.78818263166484,-15.28571451051526,-4.467749674251715,10.633221196853198,16.085327753001003,13.122690298619444,10.894790156008916,15.308428037182214,27.904976831168234,44.25371882628416,53.67110008241519,49.61942078670448,37.13771581730055,23.52360171693905,9.616611271594262,-4.138462208903221,-14.2935626732639,-21.68937342874006,-30.47571302645238,-37.81216347374723,-35.836620465771894,-24.0033643163126,-9.612148335277537,2.7875714975161507,13.36262604656083,19.038512075856573,14.038555492375933,0.8366104878031,-9.368255923523396,-10.124603888163035,-6.020192420067469,-5.314962565134206,-12.511691828522077,-26.84407067943776,-42.27675936618059,-49.46120759181312,-43.58708832212002,-31.847645339761897,-27.0390011846428,-30.45964036277973,-28.93904993272772,-15.513713063266472,-4.118741337023537,-11.59568084059764,-31.020489288472508,-38.55140807044141,-25.44091082721836,-7.278596737787898,-0.0532033772533888,-2.329001982700804,-4.749785388661591,-4.155381555477961,-3.1705487795484006,-4.425400945638836,-9.01422222801626,-15.494972179265664,-18.531627180814414,-13.378665694856752,-3.834361499311063
channel_10,25.983734446787267,3.5171223782260523,-12.754501899275862,-19.17993976960682,-16.621617226192743,-7.575945286484631,2.925856108840515,11.608732975434412,20.21735058986565,28.54636807411393,29.546048597987877,18.945748027161457,6.131099180191018,6.4130014678348495,20.726644103522585,32.012904906637296,27.820518012542784,16.49185769872013,12.164434738987069,14.65758232212327,14.111100776567206,6.757846980285618,-1.037015105272672,1.1914763295410755,18.814277223704742,42.9971232918198,53.96400491634849,40.66674970035319,12.74343250241662,-12.803958633685342,-28.415777052530004,-34.55143307144723,-33.94573433039277,-32.729977445587934,-34.91731957586388,-33.1416850926187,-17.402853718513793,7.104261844507404,24.219735617471308,28.34662175932542,27.73798945019327,25.814941873326475,15.81085150927046,-1.7866395264818256,-13.771449733894068,-13.018456253383516,-8.519702555279853,-11.475709733414408,-22.43997813561376,-35.25655926681842,-44.56341390915015,-46.69800740487938,-41.19494511324241,-34.60025074324843,-35.416768047845515,-41.64955764073877,-40.82958693307676,-27.23268996904041,-11.705626052237871,-7.422738622822824,-11.945348219272567,-12.105804004813942,-2.878891107365957,7.817594599800993,11.624240431998397,8.494982097566506,2.750985092401057,-2.7064448543596096,-7.075703937354255,-10.77859229605726,-14.834163335913724,-19.118025681861795,-20.9595182296763,-17.576833720063476,-10.927572879800833
