index,timeStamp,description
0,146809.4167,START
1,146811.4985,startBlock
2,146811.5154,distractor
3,146812.9195,target
4,146814.3250,baseLine
5,146815.7316,target
6,146817.1349,distractor
7,146818.5392,baseLine
8,146819.9428,baseLine
9,146821.3483,baseLine
10,146822.7540,distractor
11,146824.1597,baseLine
12,146825.5642,baseLine
13,146826.9680,baseLine
14,146828.3749,baseLine
15,146829.7822,baseLine
16,146831.1853,baseLine
17,146832.5914,baseLine
18,146833.9964,baseLine
19,146835.4003,baseLine
20,146836.8072,target
21,146838.2117,baseLine
22,146839.6156,baseLine
23,146841.0190,baseLine
24,146842.4223,baseLine
25,146843.8296,target
26,146845.2337,baseLine
27,146846.6394,baseLine
28,146848.0455,baseLine
29,146849.4531,target
30,146850.8575,distractor
31,146852.2623,distractor
32,146853.6669,baseLine
33,146855.0708,baseLine
34,146856.4738,baseLine
35,146857.8775,baseLine
36,146859.2857,target
37,146860.6915,target
38,146862.0982,baseLine
39,146863.5032,baseLine
40,146864.9112,baseLine
41,146866.3167,baseLine
42,146867.7203,baseLine
43,146869.1260,baseLine
44,146870.5306,distractor
45,146871.9341,baseLine
46,146873.3383,baseLine
47,146874.7473,distractor
48,146876.1545,baseLine
49,146877.5606,distractor
50,146878.9654,baseLine
51,146880.3713,baseLine
52,146881.7758,distractor
53,146883.1804,baseLine
54,146884.5851,distractor
55,146885.9887,baseLine
56,146887.3921,baseLine
57,146888.7954,baseLine
58,146890.2073,baseLine
59,146891.6141,distractor
60,146893.0187,baseLine
61,146894.4243,target
62,146895.8286,baseLine
63,146897.2317,distractor
64,146898.6374,baseLine
65,146900.0411,baseLine
66,146901.4460,baseLine
67,146902.8510,baseLine
68,146904.2551,target
69,146905.6618,distractor
70,146907.0670,baseLine
71,146908.4727,baseLine
72,146909.8767,baseLine
73,146911.2827,baseLine
74,146912.6866,baseLine
75,146914.0908,baseLine
76,146915.4948,baseLine
77,146916.8996,baseLine
78,146918.3067,baseLine
79,146919.7121,target
80,146921.1162,target
81,146922.5218,baseLine
82,146923.9254,baseLine
83,146925.3284,baseLine
84,146926.7322,baseLine
85,146928.1368,baseLine
86,146929.5412,baseLine
87,146930.9448,baseLine
88,146932.3521,baseLine
89,146933.7580,baseLine
90,146935.1657,baseLine
91,146936.5713,distractor
92,146937.9758,baseLine
93,146939.3796,baseLine
94,146940.7840,distractor
95,146942.1895,baseLine
96,146943.5946,baseLine
97,146944.9982,baseLine
98,146946.4029,baseLine
99,146947.8065,baseLine
100,146949.2113,baseLine
101,146950.6164,baseLine
102,146952.0200,baseLine
103,146953.4238,baseLine
104,146954.8281,baseLine
105,146956.2308,baseLine
106,146957.6392,baseLine
107,146959.0439,baseLine
108,146960.4471,baseLine
109,146961.8529,baseLine
110,146963.2601,baseLine
111,146964.6647,baseLine
112,146966.0668,distractor
113,146967.4704,distractor
114,146968.8780,distractor
115,146970.2821,baseLine
116,146971.6876,baseLine
117,146973.0924,target
118,146974.4993,target
119,146975.9027,baseLine
120,146977.3078,baseLine
121,146978.7132,baseLine
122,146980.1168,baseLine
123,146981.5213,baseLine
124,146982.9256,baseLine
125,146984.3324,distractor
126,146985.7374,baseLine
127,146987.1409,target
128,146988.5493,target
129,146989.9582,baseLine
130,146991.3615,baseLine
131,146992.7669,baseLine
132,146994.1720,baseLine
133,146995.5760,baseLine
134,146996.9792,baseLine
135,146998.3840,baseLine
136,146999.7891,baseLine
137,147001.1939,baseLine
138,147002.5988,baseLine
139,147004.0022,baseLine
140,147005.4059,baseLine
141,147006.8135,baseLine
142,147008.2196,distractor
143,147009.6228,baseLine
144,147011.0279,baseLine
145,147012.4361,baseLine
146,147013.8442,baseLine
147,147015.2502,baseLine
148,147016.6571,baseLine
149,147018.0625,target
150,147019.4664,target
151,147020.8720,target
152,147022.2743,distractor
153,147023.6828,baseLine
154,147025.0899,baseLine
155,147026.4931,baseLine
156,147027.8980,baseLine
157,147029.3056,baseLine
158,147030.7137,distractor
159,147032.1174,baseLine
160,147033.5233,distractor
161,147034.9267,baseLine
162,147036.3320,baseLine
163,147037.7397,baseLine
164,147039.1429,distractor
165,147040.5471,target
166,147041.9562,baseLine
167,147043.3600,baseLine
168,147044.7673,baseLine
169,147046.1715,baseLine
170,147047.5753,baseLine
171,147048.9804,baseLine
172,147050.3862,baseLine
173,147051.7911,baseLine
174,147053.1967,baseLine
175,147054.6012,baseLine
176,147056.0077,baseLine
177,147057.4138,baseLine
178,147058.8174,baseLine
179,147060.2237,baseLine
180,147061.6280,distractor
181,147063.0325,distractor
182,147064.4404,distractor
183,147065.8440,target
184,147067.2518,baseLine
185,147068.6566,target
186,147070.0627,baseLine
187,147071.4661,baseLine
188,147072.8698,target
189,147074.2734,baseLine
190,147075.6781,baseLine
191,147077.0860,baseLine
192,147078.4907,distractor
193,147079.8946,baseLine
194,147081.2988,distractor
195,147082.7035,baseLine
196,147084.1089,distractor
197,147085.5128,distractor
198,147086.9166,baseLine
199,147088.3199,baseLine
200,147089.7240,distractor
201,147091.1279,target
202,147105.9884,startBlock
203,147106.0031,baseLine
204,147107.4073,baseLine
205,147108.8131,target
206,147110.2193,baseLine
207,147111.6291,baseLine
208,147113.0363,distractor
209,147114.4399,baseLine
210,147115.8441,baseLine
211,147117.2485,target
212,147118.6528,baseLine
213,147120.0611,baseLine
214,147121.4666,baseLine
215,147122.8698,target
216,147124.2728,baseLine
217,147125.6764,baseLine
218,147127.0823,baseLine
219,147128.4856,baseLine
220,147129.8908,distractor
221,147131.2951,distractor
222,147132.7005,baseLine
223,147134.1048,distractor
224,147135.5139,baseLine
225,147136.9179,baseLine
226,147138.3212,target
227,147139.7249,baseLine
228,147141.1301,baseLine
229,147142.5329,baseLine
230,147143.9365,baseLine
231,147145.3417,baseLine
232,147146.7486,distractor
233,147148.1546,baseLine
234,147149.5590,distractor
235,147150.9629,baseLine
236,147152.3683,distractor
237,147153.7722,baseLine
238,147155.1758,baseLine
