5.1394 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.9434 	WARNING 	Monitor specification not found. Creating a temporary one...
5.9476 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1120, 700]. Using actual size
148668.4574 	EXP 	START
148670.6573 	DATA 	Keypress: space
148670.6604 	EXP 	startBlock
148670.6740 	EXP 	baseLine
148672.0793 	EXP 	baseLine
148673.4827 	EXP 	baseLine
148674.8870 	EXP 	baseLine
148676.2913 	EXP 	baseLine
148677.6983 	EXP 	baseLine
148679.1019 	EXP 	baseLine
148680.5051 	EXP 	baseLine
148681.9120 	EXP 	baseLine
148683.3165 	EXP 	baseLine
148684.7213 	EXP 	baseLine
148686.1263 	EXP 	baseLine
148687.5323 	EXP 	distractor
148688.9354 	EXP 	baseLine
148690.3399 	EXP 	baseLine
148691.7436 	EXP 	baseLine
148693.1465 	EXP 	baseLine
148694.5527 	EXP 	baseLine
148695.9560 	EXP 	target
148697.3623 	EXP 	baseLine
148698.7679 	EXP 	baseLine
148700.1740 	EXP 	baseLine
148701.5769 	EXP 	target
148702.9817 	EXP 	target
148704.3852 	EXP 	baseLine
148705.7884 	EXP 	target
148707.1913 	EXP 	baseLine
148708.5982 	EXP 	baseLine
148710.0046 	EXP 	baseLine
148711.4095 	EXP 	baseLine
148712.8135 	EXP 	baseLine
148714.2167 	EXP 	distractor
148715.6200 	EXP 	baseLine
148717.0240 	EXP 	baseLine
148718.4280 	EXP 	baseLine
148719.8319 	EXP 	target
148721.2353 	EXP 	baseLine
148722.6386 	EXP 	baseLine
148724.0451 	EXP 	distractor
148725.4489 	EXP 	baseLine
148726.8540 	EXP 	baseLine
148728.2588 	EXP 	baseLine
148729.6627 	EXP 	target
148731.0659 	EXP 	baseLine
148732.4699 	EXP 	baseLine
148733.8748 	EXP 	target
148735.2778 	EXP 	baseLine
148736.6831 	EXP 	baseLine
148738.0880 	EXP 	target
148739.4927 	EXP 	target
148740.8976 	EXP 	baseLine
148742.3015 	EXP 	baseLine
148743.7092 	EXP 	baseLine
148745.1145 	EXP 	baseLine
148746.5176 	EXP 	baseLine
148747.9228 	EXP 	baseLine
148749.3263 	EXP 	baseLine
148750.7324 	EXP 	baseLine
148752.1352 	EXP 	baseLine
148753.5391 	EXP 	target
148754.9461 	EXP 	target
148756.3506 	EXP 	baseLine
148757.7556 	EXP 	baseLine
148759.1599 	EXP 	baseLine
148760.5642 	EXP 	target
148761.9694 	EXP 	baseLine
148763.3720 	EXP 	baseLine
148764.7768 	EXP 	baseLine
148766.1808 	EXP 	distractor
148767.5830 	EXP 	baseLine
148768.9860 	EXP 	baseLine
148770.3895 	EXP 	baseLine
148771.7941 	EXP 	distractor
148773.1987 	EXP 	target
148774.6022 	EXP 	baseLine
148776.0058 	EXP 	target
148777.4085 	EXP 	distractor
148778.8123 	EXP 	baseLine
148780.2158 	EXP 	distractor
148781.6228 	EXP 	baseLine
148783.0294 	EXP 	baseLine
148784.4366 	EXP 	baseLine
148785.8408 	EXP 	target
148787.2480 	EXP 	baseLine
148788.6538 	EXP 	baseLine
148790.0562 	EXP 	target
148791.4621 	EXP 	baseLine
148792.8678 	EXP 	baseLine
148794.2709 	EXP 	baseLine
148795.6761 	EXP 	baseLine
148797.0841 	EXP 	baseLine
148798.4875 	EXP 	baseLine
148799.8926 	EXP 	distractor
148801.2966 	EXP 	distractor
148802.7017 	EXP 	baseLine
148804.1038 	EXP 	baseLine
148805.5077 	EXP 	baseLine
148806.9110 	EXP 	baseLine
148808.3143 	EXP 	baseLine
148809.7181 	EXP 	baseLine
148811.1213 	EXP 	baseLine
148812.5252 	EXP 	baseLine
148813.9295 	EXP 	baseLine
148815.3336 	EXP 	distractor
148816.7376 	EXP 	distractor
148818.1425 	EXP 	baseLine
148819.5462 	EXP 	baseLine
148820.9488 	EXP 	distractor
148822.3544 	EXP 	baseLine
148823.7571 	EXP 	baseLine
148825.1614 	EXP 	target
148826.5680 	EXP 	baseLine
148827.9728 	EXP 	baseLine
148829.3772 	EXP 	baseLine
148830.7806 	EXP 	baseLine
148832.1873 	EXP 	baseLine
148833.5944 	EXP 	baseLine
148834.9994 	EXP 	target
148836.4039 	EXP 	baseLine
148837.8084 	EXP 	baseLine
