239197.2762 	WARNING 	Monitor specification not found. Creating a temporary one...
239202.0215 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

239202.4184 	WARNING 	t of last frame was 397.31ms (=1/2)
239202.6869 	WARNING 	t of last frame was 268.58ms (=1/3)
239204.5698 	DATA 	Keypress: space
239204.5853 	WARNING 	t of last frame was 1898.36ms (=1/0)
239204.5853 	EXP 	startBlock
239205.0666 	WARNING 	t of last frame was 481.27ms (=1/2)
239205.0666 	EXP 	baseLine
239205.7834 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
239206.7922 	EXP 	target
239208.6745 	EXP 	baseLine
239210.4885 	EXP 	baseLine
239212.2710 	EXP 	distractor
239214.1891 	EXP 	baseLine
239215.8853 	EXP 	baseLine
239217.6004 	EXP 	distractor
239219.3012 	EXP 	baseLine
239221.1834 	EXP 	baseLine
239224.2077 	DATA 	Keypress: space
239224.2244 	EXP 	startBlock
239224.5312 	EXP 	baseLine
239226.2489 	EXP 	baseLine
239227.9476 	EXP 	baseLine
239229.7315 	EXP 	baseLine
239231.6113 	EXP 	distractor
239233.3653 	EXP 	target
239235.1086 	EXP 	distractor
239236.8609 	EXP 	baseLine
239238.7583 	EXP 	baseLine
239240.5431 	EXP 	baseLine
