index,timeStamp,description
0,148668.4574,START
1,148670.6604,startBlock
2,148670.6740,baseLine
3,148672.0793,baseLine
4,148673.4827,baseLine
5,148674.8870,baseLine
6,148676.2913,baseLine
7,148677.6983,baseLine
8,148679.1019,baseLine
9,148680.5051,baseLine
10,148681.9120,baseLine
11,148683.3165,baseLine
12,148684.7213,baseLine
13,148686.1263,baseLine
14,148687.5323,distractor
15,148688.9354,baseLine
16,148690.3399,baseLine
17,148691.7436,baseLine
18,148693.1465,baseLine
19,148694.5527,baseLine
20,148695.9560,target
21,148697.3623,baseLine
22,148698.7679,baseLine
23,148700.1740,baseLine
24,148701.5769,target
25,148702.9817,target
26,148704.3852,baseLine
27,148705.7884,target
28,148707.1913,baseLine
29,148708.5982,baseLine
30,148710.0046,baseLine
31,148711.4095,baseLine
32,148712.8135,baseLine
33,148714.2167,distractor
34,148715.6200,baseLine
35,148717.0240,baseLine
36,148718.4280,baseLine
37,148719.8319,target
38,148721.2353,baseLine
39,148722.6386,baseLine
40,148724.0451,distractor
41,148725.4489,baseLine
42,148726.8540,baseLine
43,148728.2588,baseLine
44,148729.6627,target
45,148731.0659,baseLine
46,148732.4699,baseLine
47,148733.8748,target
48,148735.2778,baseLine
49,148736.6831,baseLine
50,148738.0880,target
51,148739.4927,target
52,148740.8976,baseLine
53,148742.3015,baseLine
54,148743.7092,baseLine
55,148745.1145,baseLine
56,148746.5176,baseLine
57,148747.9228,baseLine
58,148749.3263,baseLine
59,148750.7324,baseLine
60,148752.1352,baseLine
61,148753.5391,target
62,148754.9461,target
63,148756.3506,baseLine
64,148757.7556,baseLine
65,148759.1599,baseLine
66,148760.5642,target
67,148761.9694,baseLine
68,148763.3720,baseLine
69,148764.7768,baseLine
70,148766.1808,distractor
71,148767.5830,baseLine
72,148768.9860,baseLine
73,148770.3895,baseLine
74,148771.7941,distractor
75,148773.1987,target
76,148774.6022,baseLine
77,148776.0058,target
78,148777.4085,distractor
79,148778.8123,baseLine
80,148780.2158,distractor
81,148781.6228,baseLine
82,148783.0294,baseLine
83,148784.4366,baseLine
84,148785.8408,target
85,148787.2480,baseLine
86,148788.6538,baseLine
87,148790.0562,target
88,148791.4621,baseLine
89,148792.8678,baseLine
90,148794.2709,baseLine
91,148795.6761,baseLine
92,148797.0841,baseLine
93,148798.4875,baseLine
94,148799.8926,distractor
95,148801.2966,distractor
96,148802.7017,baseLine
97,148804.1038,baseLine
98,148805.5077,baseLine
99,148806.9110,baseLine
100,148808.3143,baseLine
101,148809.7181,baseLine
102,148811.1213,baseLine
103,148812.5252,baseLine
104,148813.9295,baseLine
105,148815.3336,distractor
106,148816.7376,distractor
107,148818.1425,baseLine
108,148819.5462,baseLine
109,148820.9488,distractor
110,148822.3544,baseLine
111,148823.7571,baseLine
112,148825.1614,target
113,148826.5680,baseLine
114,148827.9728,baseLine
115,148829.3772,baseLine
116,148830.7806,baseLine
117,148832.1873,baseLine
118,148833.5944,baseLine
119,148834.9994,target
120,148836.4039,baseLine
121,148837.8084,baseLine
122,148839.2133,distractor
123,148840.6206,baseLine
124,148842.0250,baseLine
125,148843.4279,baseLine
126,148844.8319,baseLine
127,148846.2382,target
128,148847.6421,baseLine
129,148849.0477,distractor
130,148850.4507,baseLine
131,148851.8549,baseLine
132,148853.2583,baseLine
133,148854.6622,baseLine
134,148856.0658,baseLine
135,148857.4708,baseLine
136,148858.8771,baseLine
137,148860.2854,baseLine
138,148861.6882,baseLine
139,148863.0938,baseLine
140,148864.4975,target
141,148865.9008,baseLine
142,148867.3036,baseLine
143,148868.7073,distractor
144,148870.1097,baseLine
145,148871.5139,baseLine
146,148872.9175,baseLine
147,148874.3217,baseLine
148,148875.7267,baseLine
149,148877.1307,baseLine
150,148878.5343,baseLine
151,148879.9375,baseLine
152,148881.3424,distractor
153,148882.7475,baseLine
154,148884.1520,baseLine
155,148885.5566,baseLine
156,148886.9599,baseLine
157,148888.3643,baseLine
158,148889.7672,baseLine
159,148891.1757,distractor
160,148892.5803,baseLine
161,148893.9854,target
162,148895.3898,baseLine
163,148896.7945,baseLine
164,148898.2002,target
165,148899.6048,baseLine
166,148901.0083,target
167,148902.4148,baseLine
168,148903.8183,baseLine
169,148905.2221,baseLine
170,148906.6259,baseLine
171,148908.0284,baseLine
172,148909.4316,baseLine
173,148910.8340,baseLine
174,148912.2385,baseLine
175,148913.6431,baseLine
176,148915.0469,baseLine
177,148916.4505,baseLine
178,148917.8531,baseLine
179,148919.2580,baseLine
180,148920.6618,target
181,148922.0650,distractor
182,148923.4703,target
183,148924.8740,baseLine
184,148926.2775,baseLine
185,148927.6814,baseLine
186,148929.0855,baseLine
187,148930.4882,baseLine
188,148931.8916,baseLine
189,148933.2974,baseLine
190,148934.7027,baseLine
191,148936.1066,distractor
192,148937.5129,baseLine
193,148938.9164,distractor
194,148940.3213,baseLine
195,148941.7247,baseLine
196,148943.1268,baseLine
197,148944.5308,baseLine
198,148945.9348,baseLine
199,148947.3429,baseLine
200,148948.7490,target
201,148950.1519,baseLine
202,148957.4839,startBlock
203,148957.4957,baseLine
204,148958.9008,distractor
205,148960.3038,baseLine
206,148961.7065,distractor
207,148963.1111,distractor
208,148964.5177,baseLine
209,148965.9204,baseLine
210,148967.3287,baseLine
211,148968.7346,baseLine
212,148970.1384,baseLine
213,148971.5412,distractor
214,148972.9452,baseLine
215,148974.3483,baseLine
216,148975.7532,target
217,148977.1571,baseLine
218,148978.5614,baseLine
219,148979.9666,baseLine
