index,timeStamp,description
0,1135499.2676,START
1,1135501.4615,startBlock
2,1135501.7585,distractor
3,1135503.3501,target
4,1135504.9582,baseLine
5,1135506.5719,baseLine
6,1135508.1839,distractor
7,1135509.7929,distractor
8,1135511.3807,baseLine
9,1135512.9816,baseLine
10,1135514.5681,baseLine
11,1135516.1859,baseLine
12,1135517.7993,baseLine
13,1135519.3942,baseLine
14,1135521.0022,baseLine
15,1135522.6075,baseLine
16,1135524.2076,baseLine
17,1135525.8145,baseLine
18,1135527.4232,baseLine
19,1135529.0159,baseLine
20,1135530.6282,baseLine
21,1135532.2399,baseLine
22,1135536.2210,startBlock
23,1135536.4208,baseLine
24,1135538.0167,distractor
25,1135539.6102,baseLine
26,1135541.2182,distractor
27,1135542.8066,baseLine
28,1135544.4202,distractor
29,1135546.0252,distractor
30,1135547.6416,baseLine
31,1135549.2527,baseLine
32,1135550.8763,baseLine
33,1135552.4953,baseLine
34,1135554.1174,baseLine
35,1135555.7290,baseLine
36,1135557.3249,baseLine
37,1135558.9243,baseLine
38,1135560.5594,target
39,1135562.1713,distractor
40,1135563.7476,baseLine
41,1135565.3534,baseLine
42,1135566.9541,baseLine
43,1135584.0404,startBlock
44,1135584.2524,baseLine
45,1135585.8627,baseLine
46,1135587.4754,baseLine
47,1135589.0751,baseLine
48,1135590.6872,baseLine
49,1135592.2906,baseLine
50,1135593.9132,target
51,1135595.5187,baseLine
52,1135597.1293,baseLine
53,1135598.7413,baseLine
54,1135600.3666,baseLine
55,1135601.9681,baseLine
56,1135603.5811,baseLine
57,1135605.1755,baseLine
58,1135606.7725,baseLine
59,1135608.3805,baseLine
60,1135609.9765,baseLine
61,1135611.5862,baseLine
62,1135613.2184,baseLine
63,1135614.8020,baseLine
64,1135701.5713,startBlock
65,1135701.7759,baseLine
66,1135703.3886,baseLine
67,1135704.9881,baseLine
68,1135706.5983,baseLine
69,1135708.2047,distractor
70,1135709.8219,baseLine
71,1135711.4250,baseLine
72,1135713.0416,distractor
73,1135714.6380,baseLine
74,1135716.2653,distractor
75,1135717.8799,baseLine
76,1135719.4915,baseLine
77,1135721.1090,baseLine
78,1135722.7199,baseLine
79,1135724.3235,baseLine
80,1135725.9269,target
81,1135727.5235,baseLine
82,1135729.1392,baseLine
83,1135730.7536,baseLine
84,1135732.3738,target
85,1136040.7806,startBlock
86,1136040.9904,baseLine
87,1136042.6031,baseLine
88,1136044.2100,baseLine
89,1136045.8371,baseLine
90,1136047.4425,baseLine
91,1136049.0520,baseLine
92,1136050.6612,distractor
93,1136052.2781,baseLine
94,1136053.8967,baseLine
95,1136055.5046,baseLine
96,1136057.1162,target
97,1136058.7070,distractor
98,1136060.3013,target
99,1136061.8841,distractor
100,1136063.4984,baseLine
101,1136065.1053,baseLine
102,1136066.7087,baseLine
103,1136068.3259,baseLine
104,1136069.9296,baseLine
105,1136071.5487,target
