602090.6487 	WARNING 	Monitor specification not found. Creating a temporary one...
602378.8989 	EXP 	baseLine
602380.5419 	EXP 	baseLine
602382.2304 	EXP 	baseLine
602383.8983 	EXP 	baseLine
602385.5703 	EXP 	baseLine
602387.2314 	EXP 	baseLine
602388.8735 	EXP 	baseLine
602390.5523 	EXP 	baseLine
602392.2203 	EXP 	baseLine
602393.8971 	EXP 	baseLine
602395.5843 	EXP 	baseLine
602397.2418 	EXP 	baseLine
602398.8844 	EXP 	baseLine
602400.5822 	EXP 	baseLine
602402.2133 	EXP 	baseLine
602403.8572 	EXP 	baseLine
602405.5060 	EXP 	baseLine
602407.1540 	EXP 	baseLine
602408.8009 	EXP 	baseLine
602410.4612 	EXP 	baseLine
602412.0967 	EXP 	baseLine
602413.7397 	EXP 	target
602415.4100 	EXP 	baseLine
602417.0876 	EXP 	baseLine
602418.7620 	EXP 	baseLine
602420.4347 	EXP 	baseLine
602422.1128 	EXP 	baseLine
602423.7743 	EXP 	baseLine
602425.4305 	EXP 	baseLine
602427.1136 	EXP 	baseLine
602428.7631 	EXP 	baseLine
602430.3961 	EXP 	baseLine
602432.0389 	EXP 	baseLine
602433.6863 	EXP 	baseLine
602435.2877 	EXP 	baseLine
602436.9572 	EXP 	baseLine
602438.5869 	EXP 	baseLine
602440.2127 	EXP 	baseLine
602441.8783 	EXP 	baseLine
602443.5076 	EXP 	baseLine
602445.1399 	EXP 	baseLine
602446.7872 	EXP 	baseLine
602448.3994 	EXP 	baseLine
602450.0464 	EXP 	baseLine
602451.6787 	EXP 	baseLine
602453.2989 	EXP 	baseLine
